time,ch1,ch2
0.0,1.84,1.47
2.0,2.02,1.46
4.0,2.1,1.44
6.0,2.15,1.43
8.0,2.05,1.43
10.0,1.99,1.44
12.0,1.76,1.45
14.0,1.64,1.45
16.0,1.59,1.46
18.0,1.94,1.48
20.0,2.1,1.47
22.0,2.26,1.46
24.0,2.49,1.44
26.0,2.54,1.43
28.0,2.61,1.43
30.0,2.46,1.44
32.0,2.42,1.45
35.0,2.37,1.45
37.0,2.07,1.46
39.0,1.89,1.48
40.0,1.88,1.47
42.0,2.05,1.46
44.0,2.15,1.44
46.0,2.17,1.43
48.0,2.14,1.43
50.0,2.19,1.44
52.0,2.26,1.45
54.0,2.41,1.45
56.0,2.27,1.46
58.0,2.12,1.48
60.0,1.99,1.47
62.0,2.02,1.46
64.0,2.16,1.44
66.0,2.28,1.43
68.0,2.32,1.43
70.0,2.28,1.44
72.0,2.31,1.45
74.0,2.33,1.45
77.0,2.16,1.47
79.0,2.19,1.48
81.0,2.32,1.47
83.0,2.32,1.46
85.0,2.58,1.44
86.0,3.05,1.43
88.0,3.26,1.43
90.0,3.0,1.44
92.0,2.77,1.45
94.0,2.49,1.45
96.0,2.08,1.47
98.0,1.66,1.48
100.0,1.2,1.47
102.0,1.06,1.46
104.0,1.18,1.44
106.0,1.45,1.43
108.0,1.28,1.43
110.0,0.84,1.44
112.0,0.59,1.45
114.0,0.59,1.45
116.0,0.66,1.47
119.0,0.68,1.48
121.0,0.71,1.47
123.0,0.94,1.46
125.0,1.23,1.44
127.0,1.53,1.43
129.0,1.83,1.43
130.0,1.87,1.44
132.0,2.01,1.45
134.0,2.1,1.45
136.0,2.37,1.47
138.0,2.34,1.48
140.0,2.57,1.47
142.0,2.57,1.46
144.0,2.55,1.44
146.0,2.58,1.43
148.0,2.68,1.43
150.0,2.55,1.44
152.0,2.29,1.45
154.0,2.2,1.45
156.0,2.08,1.47
158.0,1.98,1.48
160.0,2.21,1.47
163.0,2.5,1.46
165.0,2.81,1.44
167.0,3.25,1.43
169.0,3.26,1.43
171.0,2.99,1.44
172.0,2.95,1.45
174.0,3.15,1.46
176.0,3.05,1.47
178.0,2.85,1.48
180.0,2.95,1.47
182.0,2.98,1.46
184.0,3.3,1.44
186.0,3.3,1.43
188.0,3.3,1.43
190.0,3.3,1.44
192.0,3.3,1.45
194.0,3.3,1.46
196.0,3.3,1.47
198.0,3.26,1.48
200.0,3.13,1.47
202.0,3.3,1.46
205.0,3.3,1.44
207.0,3.3,1.43
209.0,3.3,1.43
211.0,3.3,1.44
213.0,3.3,1.45
215.0,3.3,1.46
216.0,3.3,1.47
218.0,3.3,1.48
220.0,3.3,1.47
222.0,3.3,1.46
224.0,3.3,1.44
226.0,3.3,1.43
228.0,3.3,1.43
230.0,3.3,1.44
232.0,3.3,1.45
234.0,3.3,1.45
236.0,3.3,1.47
238.0,3.3,1.48
240.0,3.3,1.47
242.0,3.17,1.46
244.0,3.03,1.44
247.0,2.85,1.43
249.0,2.67,1.43
251.0,2.57,1.44
253.0,2.48,1.45
255.0,2.36,1.45
257.0,2.18,1.47
258.0,2.09,1.48
260.0,2.1,1.47
262.0,2.2,1.46
264.0,2.18,1.44
266.0,2.05,1.43
268.0,2.06,1.43
270.0,1.67,1.44
272.0,1.52,1.45
274.0,1.35,1.45
276.0,1.23,1.47
278.0,1.29,1.48
280.0,1.33,1.47
282.0,1.44,1.46
284.0,1.57,1.44
286.0,1.67,1.43
288.0,1.85,1.43
291.0,1.97,1.44
293.0,2.24,1.45
295.0,2.41,1.45
297.0,2.55,1.46
299.0,2.8,1.47
300.0,2.98,1.47
302.0,3.04,1.46
304.0,2.84,1.44
306.0,2.45,1.43
308.0,2.01,1.43
310.0,1.54,1.44
312.0,0.86,1.45
314.0,0.53,1.45
316.0,0.4,1.46
318.0,0.53,1.48
320.0,0.76,1.47
322.0,1.25,1.46
324.0,1.67,1.44
326.0,1.86,1.43
328.0,1.84,1.43
330.0,1.82,1.44
333.0,1.5,1.45
335.0,1.6,1.45
337.0,1.49,1.47
339.0,1.39,1.48
341.0,1.45,1.47
343.0,1.47,1.46
344.0,1.57,1.44
346.0,1.87,1.43
348.0,1.93,1.43
350.0,1.69,1.44
352.0,1.49,1.45
354.0,1.38,1.45
356.0,1.2,1.47
358.0,1.11,1.47
360.0,1.09,1.47
362.0,1.02,1.46
364.0,1.14,1.44
366.0,1.18,1.43
368.0,1.19,1.43
370.0,1.08,1.44
372.0,0.6,1.45
375.0,0.39,1.45
377.0,0.25,1.47
379.0,0.06,1.48
381.0,0.13,1.47
383.0,0.28,1.46
385.0,0.55,1.44
386.0,0.65,1.43
388.0,0.62,1.43
390.0,0.31,1.44
392.0,0.15,1.45
394.0,0.16,1.46
396.0,0.04,1.48
398.0,0.2,1.49
400.0,0.25,1.48
402.0,0.35,1.47
404.0,0.37,1.45
406.0,0.37,1.44
408.0,0.36,1.44
410.0,0.24,1.45
412.0,0.3,1.47
414.0,0.23,1.49
416.0,0.05,1.54
419.0,0.08,1.58
421.0,0.35,1.62
423.0,0.46,1.6
425.0,0.62,1.53
427.0,0.94,1.54
428.0,1.11,1.61
430.0,0.98,1.67
432.0,0.75,1.82
434.0,0.78,2.02
436.0,0.86,2.14
438.0,1.08,2.09
440.0,1.23,1.93
442.0,1.19,1.72
444.0,1.12,1.77
446.0,1.19,1.96
448.0,1.28,2.08
450.0,1.19,2.21
452.0,1.15,2.33
454.0,0.87,2.45
456.0,0.73,2.67
458.0,0.73,2.69
461.0,0.86,2.65
463.0,0.95,2.54
465.0,0.84,2.41
467.0,0.77,2.39
469.0,0.91,2.46
471.0,0.83,2.43
472.0,0.75,2.38
474.0,0.56,2.43
476.0,0.36,2.51
478.0,0.4,2.45
480.0,0.5,2.51
482.0,0.49,2.44
484.0,0.5,2.35
486.0,0.55,2.33
488.0,0.65,2.26
490.0,0.73,2.31
492.0,0.88,2.42
494.0,0.83,2.4
496.0,0.72,2.54
498.0,0.64,2.54
500.0,0.62,2.36
503.0,0.71,2.25
505.0,0.87,2.05
507.0,0.83,1.92
509.0,0.82,1.96
511.0,0.75,2.0
513.0,0.49,1.76
514.0,0.4,1.95
516.0,0.21,1.98
518.0,0.0,1.89
520.0,0.0,1.9
522.0,0.0,1.67
524.0,0.08,1.49
526.0,0.09,1.55
528.0,0.13,1.43
530.0,0.36,1.45
532.0,0.39,1.6
534.0,0.4,1.72
536.0,0.34,1.79
538.0,0.44,1.74
540.0,0.47,1.62
542.0,0.8,1.61
544.0,1.06,1.44
547.0,1.2,1.39
549.0,1.32,1.45
551.0,1.35,1.5
553.0,1.28,1.48
555.0,1.27,1.59
556.0,1.18,1.6
558.0,1.14,1.5
560.0,1.25,1.39
562.0,1.42,1.24
564.0,1.49,1.09
566.0,1.53,1.13
568.0,1.51,1.24
570.0,1.35,1.38
572.0,1.3,1.55
574.0,1.19,1.69
576.0,0.99,1.67
578.0,0.87,1.71
580.0,0.81,1.5
582.0,0.99,1.52
584.0,1.14,1.49
586.0,1.15,1.41
589.0,1.16,1.33
591.0,1.1,1.32
593.0,1.07,1.41
595.0,1.1,1.52
597.0,0.95,1.61
599.0,0.86,1.56
600.0,0.88,1.54
602.0,0.93,1.53
604.0,1.07,1.44
606.0,1.1,1.46
608.0,1.12,1.65
610.0,1.03,1.64
612.0,1.01,1.73
614.0,0.89,1.75
616.0,0.8,1.72
618.0,0.82,1.73
620.0,0.92,1.71
622.0,0.98,1.32
624.0,1.24,1.26
626.0,1.31,1.26
628.0,1.28,1.22
631.0,1.35,1.32
633.0,1.33,1.36
635.0,1.25,1.45
637.0,1.27,1.53
639.0,1.39,1.41
641.0,1.52,1.24
642.0,1.65,1.27
644.0,1.72,1.14
646.0,1.78,1.11
648.0,1.79,1.14
650.0,1.64,1.1
652.0,1.55,1.11
654.0,1.45,1.3
656.0,1.35,1.35
658.0,1.39,1.44
660.0,1.43,1.5
662.0,1.51,1.35
664.0,1.6,1.27
666.0,1.58,1.19
668.0,1.53,1.22
670.0,1.45,1.39
672.0,1.25,1.39
675.0,1.15,1.49
677.0,1.15,1.58
679.0,1.18,1.66
681.0,1.23,1.58
683.0,1.42,1.53
684.0,1.59,1.26
686.0,1.61,1.14
688.0,1.6,1.13
690.0,1.54,1.08
692.0,1.49,1.1
694.0,1.43,1.23
696.0,1.3,1.27
698.0,1.32,1.37
700.0,1.34,1.33
702.0,1.46,1.31
704.0,1.58,1.18
706.0,1.57,1.28
708.0,1.57,1.36
710.0,1.5,1.45
712.0,1.42,1.46
714.0,1.3,1.42
717.0,1.21,1.42
719.0,1.25,1.45
721.0,1.32,1.24
723.0,1.46,1.09
725.0,1.51,0.86
727.0,1.44,0.9
728.0,1.3,0.84
730.0,1.18,0.81
732.0,1.08,0.81
734.0,1.04,0.97
736.0,0.85,1.0
738.0,0.8,0.96
740.0,0.79,0.97
742.0,0.85,0.89
744.0,0.99,0.69
746.0,1.04,0.56
748.0,0.95,0.43
750.0,0.88,0.48
752.0,0.86,0.48
754.0,0.77,0.58
756.0,0.65,0.58
759.0,0.65,0.5
761.0,0.78,0.26
763.0,0.91,0.14
765.0,0.99,0.05
767.0,1.01,0.01
769.0,1.08,0.05
770.0,1.09,0.14
772.0,1.05,0.13
774.0,1.15,0.35
776.0,1.17,0.53
778.0,1.2,0.64
780.0,1.39,0.8
782.0,1.5,0.8
784.0,1.55,0.67
786.0,1.59,0.63
788.0,1.61,0.76
790.0,1.59,0.83
792.0,1.54,0.89
794.0,1.47,0.79
796.0,1.4,0.81
798.0,1.32,0.76
800.0,1.47,0.73
803.0,1.48,0.61
805.0,1.45,0.59
807.0,1.36,0.65
809.0,1.3,0.8
811.0,1.23,0.99
812.0,1.19,1.13
814.0,1.13,1.21
