time,ch1,ch2
0.15000000000000002,1.53,1.41
2.15,1.47,1.43
4.15,1.47,1.41
6.15,1.37,1.31
8.15,1.37,1.34
10.15,1.4,1.43
12.15,1.47,1.48
14.15,1.51,1.5
16.15,1.53,1.45
18.15,1.6,1.5
20.15,1.57,1.54
22.15,1.58,1.55
24.15,1.54,1.58
26.15,1.41,1.52
28.15,1.44,1.59
30.15,1.45,1.58
32.15,1.53,1.61
34.15,1.58,1.66
36.15,1.58,1.62
38.15,1.59,1.63
40.15,1.55,1.64
43.15,1.57,1.6
45.15,1.54,1.58
47.15,1.43,1.53
48.15,1.43,1.58
50.15,1.46,1.66
52.15,1.5,1.68
54.15,1.54,1.67
56.15,1.54,1.57
58.15,1.61,1.61
60.15,1.65,1.59
62.15,1.65,1.59
64.15,1.61,1.59
66.15,1.52,1.51
68.15,1.57,1.53
70.15,1.63,1.59
72.15,1.64,1.54
74.15,1.65,1.52
76.15,1.64,1.47
78.15,1.64,1.59
80.15,1.61,1.56
82.15,1.56,1.54
85.15,1.48,1.54
87.15,1.4,1.47
89.15,1.4,1.51
91.15,1.44,1.59
93.15,1.49,1.68
95.15,1.54,1.61
96.15,1.5,1.48
98.15,1.52,1.52
100.15,1.48,1.47
102.15,1.46,1.43
104.15,1.44,1.39
106.15,1.33,1.35
108.15,1.35,1.46
110.15,1.37,1.52
112.15,1.44,1.51
114.15,1.48,1.49
116.15,1.49,1.47
118.15,1.5,1.53
120.15,1.45,1.48
122.15,1.4,1.37
124.15,1.33,1.28
127.15,1.25,1.26
129.15,1.3,1.37
131.15,1.32,1.46
133.15,1.41,1.49
135.15,1.46,1.46
137.15,1.45,1.43
138.15,1.46,1.43
140.15,1.43,1.38
142.15,1.41,1.35
144.15,1.36,1.37
146.15,1.27,1.35
148.15,1.33,1.41
150.15,1.39,1.46
152.15,1.44,1.44
154.15,1.45,1.37
156.15,1.41,1.35
158.15,1.45,1.39
160.15,1.41,1.37
162.15,1.35,1.32
164.15,1.34,1.26
166.15,1.27,1.21
168.15,1.33,1.27
171.15,1.37,1.28
173.15,1.44,1.31
175.15,1.48,1.32
177.15,1.48,1.26
179.15,1.51,1.31
181.15,1.49,1.3
182.15,1.43,1.3
184.15,1.35,1.26
186.15,1.25,1.19
188.15,1.27,1.23
190.15,1.35,1.34
192.15,1.42,1.36
194.15,1.45,1.32
196.15,1.43,1.27
198.15,1.43,1.29
200.15,1.4,1.3
202.15,1.37,1.32
204.15,1.3,1.27
206.15,1.21,1.24
208.15,1.28,1.36
210.15,1.32,1.35
213.15,1.39,1.38
215.15,1.45,1.39
217.15,1.45,1.39
219.15,1.49,1.46
221.15,1.44,1.46
223.15,1.36,1.44
224.15,1.35,1.42
226.15,1.31,1.39
228.15,1.35,1.48
230.15,1.4,1.52
232.15,1.48,1.56
234.15,1.51,1.58
236.15,1.49,1.55
238.15,1.52,1.51
240.15,1.46,1.43
242.15,1.43,1.37
244.15,1.35,1.39
246.15,1.28,1.53
248.15,1.28,1.62
250.15,1.4,1.76
252.15,1.43,1.74
255.15,1.48,1.7
257.15,1.51,1.63
259.15,1.52,1.63
261.15,1.47,1.67
263.15,1.4,1.65
265.15,1.35,1.68
266.15,1.29,1.61
268.15,1.35,1.57
270.15,1.41,1.65
272.15,1.48,1.68
274.15,1.54,1.71
276.15,1.53,1.71
278.15,1.51,1.77
280.15,1.5,1.76
282.15,1.52,1.71
284.15,1.45,1.62
286.15,1.41,1.52
288.15,1.46,1.52
290.15,1.48,1.53
292.15,1.51,1.49
294.15,1.54,1.55
296.15,1.53,1.49
299.15,1.52,1.41
301.15,1.45,1.38
303.15,1.38,1.36
305.15,1.34,1.23
307.15,1.29,1.15
309.15,1.3,1.16
310.15,1.39,1.27
312.15,1.44,1.31
314.15,1.47,1.25
316.15,1.47,1.2
318.15,1.49,1.24
320.15,1.47,1.29
322.15,1.46,1.32
324.15,1.41,1.25
326.15,1.33,1.21
328.15,1.35,1.19
330.15,1.39,1.22
332.15,1.4,1.21
334.15,1.43,1.24
336.15,1.46,1.21
338.15,1.44,1.23
341.15,1.42,1.26
343.15,1.4,1.2
345.15,1.35,1.04
347.15,1.27,0.98
349.15,1.27,0.99
351.15,1.35,0.99
352.15,1.41,1.02
354.15,1.49,1.06
356.15,1.49,1.06
358.15,1.51,1.04
360.15,1.57,1.11
362.15,1.55,1.15
364.15,1.49,1.09
366.15,1.44,1.02
368.15,1.49,1.08
370.15,1.55,1.13
372.15,1.63,1.21
374.15,1.64,1.18
376.15,1.63,1.16
378.15,1.58,1.16
380.15,1.55,1.15
383.15,1.49,1.1
385.15,1.44,1.06
387.15,1.38,1.03
389.15,1.38,1.04
391.15,1.42,1.05
393.15,1.5,1.12
395.15,1.55,1.09
396.15,1.53,1.05
398.15,1.53,1.11
400.15,1.49,1.09
402.15,1.45,1.08
404.15,1.39,1.01
406.15,1.32,1.06
408.15,1.31,1.14
410.15,1.34,1.21
412.15,1.37,1.18
414.15,1.42,1.18
416.15,1.47,1.17
418.15,1.5,1.23
420.15,1.45,1.19
422.15,1.44,1.24
424.15,1.41,1.27
427.15,1.35,1.2
429.15,1.42,1.23
431.15,1.46,1.29
433.15,1.55,1.38
435.15,1.51,1.34
437.15,1.48,1.29
438.15,1.5,1.33
440.15,1.46,1.39
442.15,1.41,1.49
444.15,1.34,1.47
446.15,1.34,1.42
448.15,1.42,1.47
450.15,1.49,1.52
452.15,1.54,1.52
454.15,1.54,1.45
456.15,1.56,1.46
458.15,1.57,1.51
460.15,1.55,1.43
462.15,1.52,1.38
464.15,1.43,1.36
466.15,1.38,1.38
469.15,1.4,1.43
471.15,1.46,1.46
473.15,1.55,1.57
475.15,1.53,1.49
477.15,1.51,1.51
479.15,1.51,1.56
480.15,1.46,1.55
482.15,1.45,1.56
484.15,1.35,1.59
486.15,1.32,1.56
488.15,1.31,1.6
490.15,1.37,1.67
492.15,1.44,1.74
494.15,1.46,1.67
496.15,1.45,1.75
498.15,1.5,1.67
500.15,1.47,1.59
502.15,1.42,1.55
504.15,1.37,1.44
506.15,1.31,1.36
508.15,1.33,1.38
511.15,1.38,1.51
513.15,1.44,1.58
515.15,1.46,1.49
517.15,1.45,1.47
519.15,1.45,1.48
521.15,1.38,1.4
523.15,1.35,1.35
524.15,1.29,1.28
526.15,1.24,1.25
528.15,1.24,1.23
530.15,1.3,1.38
532.15,1.37,1.67
534.15,1.45,1.64
536.15,1.47,1.55
538.15,1.44,1.55
540.15,1.39,1.55
542.15,1.38,1.59
544.15,1.34,1.54
546.15,1.3,1.53
548.15,1.33,1.57
550.15,1.36,1.67
552.15,1.35,1.71
555.15,1.42,1.71
557.15,1.42,1.63
559.15,1.44,1.63
561.15,1.4,1.64
563.15,1.37,1.62
565.15,1.31,1.58
566.15,1.27,1.51
568.15,1.31,1.77
570.15,1.35,2.04
572.15,1.37,2.11
574.15,1.42,2.06
576.15,1.45,2.02
578.15,1.46,2.05
580.15,1.45,2.05
582.15,1.43,1.95
584.15,1.32,1.67
586.15,1.26,1.62
588.15,1.25,1.65
590.15,1.33,1.67
592.15,1.43,1.67
594.15,1.46,1.55
597.15,1.48,1.46
599.15,1.52,1.41
601.15,1.5,1.33
603.15,1.48,1.25
605.15,1.41,1.28
607.15,1.37,1.24
608.15,1.44,1.26
610.15,1.54,1.27
612.15,1.57,1.27
614.15,1.63,1.4
616.15,1.68,1.24
618.15,1.7,1.05
620.15,1.67,0.98
622.15,1.66,1.15
624.15,1.59,1.26
626.15,1.54,1.03
628.15,1.57,0.92
630.15,1.61,0.89
632.15,1.7,0.82
634.15,1.7,0.77
636.15,1.68,0.35
639.15,1.69,0.0
641.15,1.69,0.0
643.15,1.63,0.0
645.15,1.51,0.0
647.15,1.42,0.0
649.15,1.48,0.0
651.15,1.48,0.0
652.15,1.46,0.0
654.15,1.43,0.0
656.15,1.42,0.0
658.15,1.43,0.0
660.15,1.45,0.0
662.15,1.51,0.0
664.15,1.51,0.03
666.15,1.48,0.05
668.15,1.56,0.12
670.15,1.62,0.05
672.15,1.68,0.19
674.15,1.69,0.55
676.15,1.71,0.36
678.15,1.66,0.5
680.15,1.55,0.64
683.15,1.45,0.71
685.15,1.41,0.62
687.15,1.38,0.82
689.15,1.4,1.05
691.15,1.49,1.12
693.15,1.51,1.23
694.15,1.48,1.32
696.15,1.5,1.45
698.15,1.48,1.48
700.15,1.47,1.63
702.15,1.46,1.39
704.15,1.43,1.01
706.15,1.4,0.73
708.15,1.43,0.56
710.15,1.55,0.55
712.15,1.65,0.54
714.15,1.7,0.49
716.15,1.69,0.64
718.15,1.69,0.9
720.15,1.64,0.97
722.15,1.61,1.01
725.15,1.52,0.93
727.15,1.47,0.9
729.15,1.49,0.93
731.15,1.54,1.47
733.15,1.55,1.77
735.15,1.55,1.66
736.15,1.54,1.5
738.15,1.53,1.75
740.15,1.49,1.72
742.15,1.41,1.82
744.15,1.36,1.91
746.15,1.35,1.99
748.15,1.35,2.11
750.15,1.39,2.11
752.15,1.44,2.14
754.15,1.47,2.29
756.15,1.45,2.35
758.15,1.43,2.15
760.15,1.4,2.09
762.15,1.36,2.2
764.15,1.25,2.16
767.15,1.17,2.15
769.15,1.22,2.15
771.15,1.29,2.24
773.15,1.35,2.24
775.15,1.39,2.16
777.15,1.37,2.18
779.15,1.34,2.14
780.15,1.33,2.04
782.15,1.34,2.05
784.15,1.25,1.89
786.15,1.22,1.75
788.15,1.22,1.76
790.15,1.28,1.83
792.15,1.35,1.82
794.15,1.42,1.88
796.15,1.49,1.96
798.15,1.55,1.92
800.15,1.55,1.83
802.15,1.48,1.92
804.15,1.4,1.98
806.15,1.37,2.05
808.15,1.45,2.22
811.15,1.44,2.3
813.15,1.47,2.42
815.15,1.51,2.53
817.15,1.57,2.55
819.15,1.54,2.44
821.15,1.49,2.39
822.15,1.46,2.24
824.15,1.41,2.22
826.15,1.38,2.34
828.15,1.42,2.49
830.15,1.47,2.63
832.15,1.57,2.7
834.15,1.56,2.6
836.15,1.54,2.45
838.15,1.54,2.44
840.15,1.56,2.45
842.15,1.58,2.53
844.15,1.48,2.28
846.15,1.45,2.1
848.15,1.51,1.96
850.15,1.59,1.77
853.15,1.63,1.74
855.15,1.63,1.66
857.15,1.6,1.54
859.15,1.56,1.49
861.15,1.49,1.39
863.15,1.45,1.28
864.15,1.39,1.2
866.15,1.38,1.18
868.15,1.43,1.33
870.15,1.5,1.36
872.15,1.54,1.38
874.15,1.52,1.28
876.15,1.48,1.22
878.15,1.41,1.11
880.15,1.33,1.06
882.15,1.3,0.99
884.15,1.22,0.92
886.15,1.21,0.85
888.15,1.18,0.81
890.15,1.28,0.9
892.15,1.37,0.99
895.15,1.39,0.94
897.15,1.4,0.9
899.15,1.33,0.82
901.15,1.33,0.78
903.15,1.39,0.79
905.15,1.28,0.76
907.15,1.3,0.88
908.15,1.31,0.96
910.15,1.42,0.98
912.15,1.48,0.91
914.15,1.52,0.91
916.15,1.54,0.88
918.15,1.53,0.96
920.15,1.52,0.99
922.15,1.53,1.0
924.15,1.41,0.94
926.15,1.37,0.98
928.15,1.38,0.99
930.15,1.39,1.08
932.15,1.47,1.23
934.15,1.48,1.29
936.15,1.51,1.33
939.15,1.51,1.4
941.15,1.5,1.39
943.15,1.5,1.36
945.15,1.44,1.3
947.15,1.42,1.3
949.15,1.45,1.4
950.15,1.5,1.54
952.15,1.56,1.61
954.15,1.52,1.53
956.15,1.54,1.49
958.15,1.58,1.51
960.15,1.53,1.68
962.15,1.47,1.66
964.15,1.41,1.55
966.15,1.41,1.55
968.15,1.39,1.62
970.15,1.49,1.77
972.15,1.58,1.91
974.15,1.59,1.83
976.15,1.65,1.95
978.15,1.65,1.95
981.15,1.73,1.88
983.15,1.74,1.72
985.15,1.63,1.52
987.15,1.6,1.54
989.15,1.6,1.61
991.15,1.65,1.62
992.15,1.75,1.59
994.15,1.79,1.56
996.15,1.85,1.62
998.15,1.85,1.65
1000.15,1.81,1.75
1002.15,1.75,1.75
1004.15,1.67,1.72
1006.15,1.65,1.73
1008.15,1.64,1.74
1010.15,1.61,1.79
1012.15,1.69,1.92
1014.15,1.69,1.77
1016.15,1.69,1.75
1018.15,1.65,1.75
1020.15,1.64,1.78
1023.15,1.58,1.65
1025.15,1.48,1.56
1027.15,1.45,1.62
1029.15,1.44,1.62
1031.15,1.5,1.67
1033.15,1.57,1.73
1035.15,1.61,1.67
1036.15,1.6,1.61
1038.15,1.57,1.67
1040.15,1.48,1.62
1042.15,1.44,1.62
1044.15,1.33,1.54
1046.15,1.24,1.61
1048.15,1.19,1.73
1050.15,1.22,1.79
1052.15,1.37,1.86
1054.15,1.41,1.79
1056.15,1.41,1.86
1058.15,1.43,1.9
1060.15,1.44,1.94
1062.15,1.4,1.88
1064.15,1.33,1.84
1067.15,1.34,1.92
1069.15,1.31,1.95
1071.15,1.32,2.08
1073.15,1.36,2.05
1075.15,1.37,1.89
1077.15,1.38,1.88
1078.15,1.4,1.9
1080.15,1.35,1.85
1082.15,1.32,1.75
1084.15,1.22,1.61
1086.15,1.2,1.62
1088.15,1.18,1.64
1090.15,1.28,1.57
1092.15,1.36,1.47
1094.15,1.42,1.39
1096.15,1.48,1.43
1098.15,1.54,1.55
1100.15,1.51,1.59
1102.15,1.48,1.64
1104.15,1.36,1.59
1106.15,1.36,1.63
1109.15,1.37,1.59
1111.15,1.44,1.68
1113.15,1.44,1.76
1115.15,1.45,1.74
1117.15,1.45,1.79
1119.15,1.45,1.87
1121.15,1.4,1.92
1122.15,1.41,1.92
1124.15,1.29,1.93
1126.15,1.29,1.86
1128.15,1.3,1.87
1130.15,1.34,1.93
1132.15,1.38,1.94
1134.15,1.39,1.91
1136.15,1.4,1.9
1138.15,1.39,1.83
1140.15,1.34,1.64
1142.15,1.31,1.64
1144.15,1.23,1.57
1146.15,1.24,1.51
1148.15,1.25,1.46
1151.15,1.33,1.56
1153.15,1.39,1.66
1155.15,1.39,1.64
1157.15,1.4,1.69
1159.15,1.37,1.7
1161.15,1.36,1.7
1163.15,1.37,1.7
1164.15,1.29,1.59
1166.15,1.29,1.58
1168.15,1.32,1.69
1170.15,1.4,1.79
1172.15,1.45,1.81
1174.15,1.48,1.7
1176.15,1.5,1.61
1178.15,1.52,1.58
1180.15,1.44,1.58
1182.15,1.37,1.56
1184.15,1.3,1.48
1186.15,1.31,1.48
1188.15,1.38,1.64
1190.15,1.4,1.91
1192.15,1.43,1.94
1195.15,1.42,1.77
1197.15,1.43,1.77
1199.15,1.36,1.72
1201.15,1.32,1.78
1203.15,1.29,1.77
1205.15,1.21,1.75
1207.15,1.18,1.81
1208.15,1.22,1.84
1210.15,1.33,1.85
1212.15,1.43,1.81
1214.15,1.44,1.65
1216.15,1.49,1.7
1218.15,1.46,1.72
1220.15,1.43,1.74
1222.15,1.43,1.72
1224.15,1.34,1.68
1226.15,1.27,1.68
1228.15,1.32,1.76
1230.15,1.39,1.86
1232.15,1.47,1.96
1234.15,1.49,1.9
1237.15,1.5,1.9
1239.15,1.45,1.84
1241.15,1.45,1.89
1243.15,1.42,1.91
1245.15,1.32,1.79
1247.15,1.29,1.71
1249.15,1.38,1.84
1250.15,1.46,1.96
1252.15,1.53,1.94
1254.15,1.55,1.86
1256.15,1.56,1.91
1258.15,1.5,1.91
1260.15,1.42,1.87
1262.15,1.34,1.77
1264.15,1.27,1.67
1266.15,1.28,1.68
1268.15,1.3,1.68
1270.15,1.37,1.66
1272.15,1.42,1.68
1274.15,1.43,1.59
1276.15,1.46,1.56
1279.15,1.44,1.63
1281.15,1.47,1.57
1283.15,1.41,1.48
1285.15,1.3,1.37
1287.15,1.31,1.37
1289.15,1.29,1.28
1291.15,1.31,1.26
1293.15,1.36,1.37
1294.15,1.36,1.29
1296.15,1.42,1.33
1298.15,1.37,1.31
1300.15,1.38,1.31
1302.15,1.37,1.33
1304.15,1.33,1.18
1306.15,1.35,1.21
1308.15,1.33,1.22
1310.15,1.38,1.24
1312.15,1.42,1.22
1314.15,1.42,1.23
1316.15,1.47,1.29
1318.15,1.45,1.37
1320.15,1.43,1.37
1323.15,1.44,1.34
1325.15,1.35,1.25
1327.15,1.37,1.33
1329.15,1.37,1.47
1331.15,1.36,1.47
1333.15,1.38,1.48
1335.15,1.42,1.4
1336.15,1.49,1.37
1338.15,1.5,1.33
1340.15,1.51,1.39
1342.15,1.49,1.34
1344.15,1.43,1.28
1346.15,1.45,1.31
1348.15,1.5,1.41
1350.15,1.57,1.48
1352.15,1.65,1.44
1354.15,1.6,1.33
1356.15,1.63,1.42
1358.15,1.59,1.44
1360.15,1.55,1.35
1362.15,1.52,1.27
1365.15,1.4,1.15
1367.15,1.38,1.13
1369.15,1.39,1.17
1371.15,1.48,1.2
