time,ch1,ch2
1.0,1.52,1.06
3.0,1.45,1.11
5.0,1.37,0.95
7.0,1.41,0.95
9.0,1.5,0.65
11.0,1.54,0.68
13.0,1.59,0.36
15.0,1.61,0.25
17.0,1.68,0.36
19.0,1.61,0.49
21.0,1.57,0.65
23.0,1.46,0.82
25.0,1.33,0.97
27.0,1.34,1.12
29.0,1.35,1.03
31.0,1.46,1.0
33.0,1.55,0.83
35.0,1.58,0.85
37.0,1.59,1.25
39.0,1.58,1.28
41.0,1.49,1.24
44.0,1.46,1.39
46.0,1.38,1.47
48.0,1.37,1.58
49.0,1.4,1.54
51.0,1.45,1.37
53.0,1.53,1.18
55.0,1.58,1.21
57.0,1.51,1.28
59.0,1.52,1.82
61.0,1.48,1.78
63.0,1.41,1.74
65.0,1.29,1.75
67.0,1.25,1.8
69.0,1.3,1.78
71.0,1.39,1.75
73.0,1.44,1.51
75.0,1.49,1.55
77.0,1.5,1.73
79.0,1.47,2.1
81.0,1.46,2.16
83.0,1.37,2.12
86.0,1.25,2.12
88.0,1.27,2.12
90.0,1.36,2.01
92.0,1.4,1.67
94.0,1.56,1.44
95.0,1.62,1.46
97.0,1.59,1.54
99.0,1.55,1.63
101.0,1.5,1.73
103.0,1.41,1.72
105.0,1.31,1.69
107.0,1.3,1.7
109.0,1.34,1.68
111.0,1.39,1.75
113.0,1.41,1.56
115.0,1.46,1.56
117.0,1.47,1.67
119.0,1.44,1.79
121.0,1.42,1.82
123.0,1.34,2.04
125.0,1.26,2.18
128.0,1.23,1.99
130.0,1.29,1.75
132.0,1.36,1.84
134.0,1.45,2.0
136.0,1.51,2.15
138.0,1.51,2.32
139.0,1.49,2.44
141.0,1.47,2.62
143.0,1.36,2.61
145.0,1.26,2.54
147.0,1.22,2.42
149.0,1.29,2.18
151.0,1.42,1.94
153.0,1.52,1.66
155.0,1.56,1.34
157.0,1.56,1.28
159.0,1.48,1.37
161.0,1.43,1.39
163.0,1.33,1.48
165.0,1.28,1.6
167.0,1.25,1.71
169.0,1.36,1.64
172.0,1.43,1.47
174.0,1.41,1.15
176.0,1.49,1.09
178.0,1.53,1.13
180.0,1.52,1.24
181.0,1.52,1.36
183.0,1.48,1.4
185.0,1.42,1.42
187.0,1.44,1.74
189.0,1.51,1.67
191.0,1.63,1.58
193.0,1.67,1.6
195.0,1.72,1.7
197.0,1.75,1.85
199.0,1.74,2.03
201.0,1.67,2.04
203.0,1.57,2.03
205.0,1.47,2.06
207.0,1.48,1.99
209.0,1.58,1.75
211.0,1.61,1.55
214.0,1.67,1.36
216.0,1.66,1.45
218.0,1.63,1.94
220.0,1.55,1.96
222.0,1.53,1.76
224.0,1.39,1.58
225.0,1.35,1.53
227.0,1.33,2.03
229.0,1.36,1.54
231.0,1.4,1.09
233.0,1.5,0.86
235.0,1.49,0.79
237.0,1.49,0.86
239.0,1.5,0.93
241.0,1.47,1.02
243.0,1.36,1.15
245.0,1.32,1.25
247.0,1.33,1.25
249.0,1.38,1.15
251.0,1.47,1.04
253.0,1.53,0.88
256.0,1.54,0.91
258.0,1.56,1.22
260.0,1.47,1.39
262.0,1.5,1.55
264.0,1.38,1.37
266.0,1.32,1.35
267.0,1.35,1.36
269.0,1.37,1.34
271.0,1.46,1.35
273.0,1.49,1.56
275.0,1.5,1.74
277.0,1.45,1.8
279.0,1.39,1.77
281.0,1.42,1.56
283.0,1.35,1.36
285.0,1.26,1.27
287.0,1.23,1.34
289.0,1.27,1.2
291.0,1.34,1.44
293.0,1.41,1.14
295.0,1.49,1.17
297.0,1.4,1.22
300.0,1.39,1.37
302.0,1.3,1.45
304.0,1.22,1.52
306.0,1.17,1.62
308.0,1.17,1.69
309.0,1.23,1.6
311.0,1.29,1.39
313.0,1.38,1.18
315.0,1.41,1.18
317.0,1.4,1.25
319.0,1.45,1.39
321.0,1.38,1.46
323.0,1.27,1.51
325.0,1.24,2.07
327.0,1.27,2.01
329.0,1.34,1.7
331.0,1.45,1.5
333.0,1.51,1.28
335.0,1.61,1.38
337.0,1.6,1.51
339.0,1.54,1.6
342.0,1.51,1.67
344.0,1.38,1.69
346.0,1.32,1.72
348.0,1.35,1.77
350.0,1.35,1.6
352.0,1.44,1.4
353.0,1.51,1.22
355.0,1.56,1.44
357.0,1.6,1.64
359.0,1.52,1.73
361.0,1.44,1.81
363.0,1.33,1.81
365.0,1.28,1.84
367.0,1.29,1.85
369.0,1.37,1.67
371.0,1.48,1.69
373.0,1.55,1.78
375.0,1.59,2.41
377.0,1.62,2.33
379.0,1.61,2.25
381.0,1.51,2.18
384.0,1.43,2.22
386.0,1.36,2.3
388.0,1.35,2.26
390.0,1.42,2.15
392.0,1.47,1.98
394.0,1.52,1.71
395.0,1.54,1.73
397.0,1.61,1.8
399.0,1.54,1.93
401.0,1.49,2.09
403.0,1.35,2.09
405.0,1.29,2.09
407.0,1.29,2.09
409.0,1.35,1.96
411.0,1.4,1.71
413.0,1.49,1.5
415.0,1.54,1.5
417.0,1.58,1.58
419.0,1.62,1.77
421.0,1.6,2.0
423.0,1.48,1.97
425.0,1.47,2.02
428.0,1.43,1.99
430.0,1.45,1.78
432.0,1.55,1.5
434.0,1.63,1.27
436.0,1.68,1.26
437.0,1.7,1.28
439.0,1.55,1.25
441.0,1.53,1.41
443.0,1.42,1.58
445.0,1.37,2.22
447.0,1.44,2.15
449.0,1.49,1.88
451.0,1.59,1.64
453.0,1.64,1.36
455.0,1.69,1.39
457.0,1.67,1.43
459.0,1.63,1.44
461.0,1.54,1.39
463.0,1.37,1.42
465.0,1.31,1.49
467.0,1.33,1.32
470.0,1.35,1.1
472.0,1.43,0.97
474.0,1.51,0.83
476.0,1.55,0.93
478.0,1.58,1.15
480.0,1.45,1.18
481.0,1.44,1.28
483.0,1.38,1.35
485.0,1.32,1.43
487.0,1.31,1.85
489.0,1.35,2.05
491.0,1.41,1.82
493.0,1.47,2.02
495.0,1.49,2.14
497.0,1.44,2.13
499.0,1.49,1.92
501.0,1.49,1.74
503.0,1.36,1.58
505.0,1.34,1.58
507.0,1.32,1.5
509.0,1.42,1.29
512.0,1.5,1.09
514.0,1.55,0.91
516.0,1.65,0.89
518.0,1.66,1.37
520.0,1.58,1.2
522.0,1.58,1.11
523.0,1.44,1.09
525.0,1.41,1.25
527.0,1.44,1.33
529.0,1.5,1.21
531.0,1.54,0.97
533.0,1.63,0.86
535.0,1.65,0.96
537.0,1.66,1.04
539.0,1.67,1.19
541.0,1.6,1.3
543.0,1.46,1.41
545.0,1.42,1.53
547.0,1.41,1.58
549.0,1.45,1.51
551.0,1.49,1.38
553.0,1.53,1.15
556.0,1.59,1.23
558.0,1.61,1.42
560.0,1.58,1.5
562.0,1.57,2.16
564.0,1.46,2.31
565.0,1.43,2.12
567.0,1.42,1.96
569.0,1.49,1.75
571.0,1.52,1.49
573.0,1.62,1.27
575.0,1.69,1.29
577.0,1.66,1.33
579.0,1.6,1.33
581.0,1.5,1.3
583.0,1.4,1.33
585.0,1.39,1.25
587.0,1.4,1.25
589.0,1.5,1.25
591.0,1.59,1.44
593.0,1.59,1.09
595.0,1.63,1.28
598.0,1.63,1.43
600.0,1.55,1.46
602.0,1.49,1.27
604.0,1.39,1.17
606.0,1.38,1.14
608.0,1.38,1.09
609.0,1.45,1.01
611.0,1.51,0.86
613.0,1.52,0.76
615.0,1.57,0.95
617.0,1.53,1.11
619.0,1.52,1.24
621.0,1.4,1.28
623.0,1.3,1.35
625.0,1.29,1.45
