time,ch3
1.74,1.42
3.74,1.59
5.74,1.39
7.74,1.32
9.74,0.88
11.74,0.78
13.74,0.77
15.74,0.89
17.74,1.01
19.74,1.31
21.74,1.47
23.74,1.7
25.74,1.58
27.74,1.25
29.74,0.93
31.74,0.84
33.74,0.92
35.74,1.05
37.74,1.18
39.74,1.69
42.74,1.9
44.74,2.23
45.74,2.04
47.74,1.73
49.74,1.41
51.74,1.38
53.74,1.47
55.74,1.53
57.74,1.67
59.74,1.89
61.74,1.99
63.74,2.16
65.74,2.2
67.74,2.06
69.74,1.73
71.74,1.53
73.74,1.44
75.74,1.56
77.74,1.64
79.74,1.65
81.74,1.91
84.74,2.18
86.74,2.13
88.74,1.93
90.74,1.6
92.74,1.45
93.74,1.59
95.74,1.69
97.74,1.8
99.74,2.18
101.74,2.37
103.74,2.59
105.74,2.44
107.74,2.06
109.74,1.68
111.74,1.42
113.74,1.44
115.74,1.54
117.74,1.79
119.74,1.97
121.74,2.23
123.74,2.37
126.74,2.23
128.74,1.84
130.74,1.37
132.74,1.35
134.74,1.45
136.74,1.43
137.74,1.75
139.74,1.88
141.74,2.03
143.74,2.07
145.74,1.85
147.74,1.56
149.74,1.29
151.74,1.25
153.74,1.32
155.74,1.36
157.74,1.34
159.74,1.47
161.74,1.62
163.74,1.69
165.74,1.45
167.74,1.33
170.74,0.98
172.74,0.9
174.74,0.9
176.74,0.97
178.74,1.05
179.74,1.21
181.74,1.42
183.74,1.67
185.74,1.58
187.74,1.44
189.74,0.94
191.74,0.93
193.74,1.01
195.74,1.02
197.74,1.14
199.74,1.4
201.74,1.46
203.74,1.71
205.74,1.63
207.74,1.44
209.74,1.05
212.74,0.81
214.74,0.79
216.74,0.89
218.74,1.13
220.74,1.44
222.74,1.65
223.74,1.84
225.74,1.68
227.74,1.35
229.74,0.9
231.74,0.88
233.74,0.94
235.74,1.09
237.74,1.37
239.74,1.54
241.74,1.75
243.74,1.97
245.74,1.75
247.74,1.55
249.74,1.15
251.74,0.93
254.74,1.01
256.74,1.13
258.74,1.38
260.74,1.6
262.74,1.73
264.74,1.8
265.74,1.75
267.74,1.57
269.74,1.19
271.74,1.03
273.74,1.1
275.74,1.23
277.74,1.24
279.74,1.43
281.74,1.54
283.74,1.79
285.74,1.8
287.74,1.62
289.74,1.22
291.74,1.07
293.74,1.09
295.74,1.01
298.74,1.27
300.74,1.54
302.74,1.75
304.74,1.96
306.74,1.79
307.74,1.51
309.74,1.14
311.74,1.03
313.74,0.94
315.74,1.25
317.74,1.55
319.74,1.75
321.74,1.91
323.74,2.03
325.74,1.79
327.74,1.55
329.74,1.21
331.74,1.17
333.74,1.21
335.74,1.34
337.74,1.51
340.74,1.66
342.74,1.84
344.74,1.95
346.74,1.71
348.74,1.51
350.74,1.07
351.74,1.1
353.74,1.3
355.74,1.39
357.74,1.66
359.74,1.92
361.74,2.05
363.74,2.2
365.74,2.01
367.74,1.89
369.74,1.41
371.74,1.39
373.74,1.58
375.74,1.74
377.74,1.8
379.74,1.94
382.74,2.04
384.74,2.25
386.74,2.18
388.74,1.94
390.74,1.42
392.74,1.35
393.74,1.22
395.74,1.52
397.74,1.74
399.74,1.93
401.74,2.16
403.74,2.52
405.74,2.27
407.74,2.05
409.74,1.55
411.74,1.39
413.74,1.39
415.74,1.35
417.74,1.55
419.74,1.78
421.74,1.93
423.74,2.1
426.74,2.03
428.74,1.59
430.74,1.12
432.74,1.09
434.74,1.26
435.74,1.31
437.74,1.57
439.74,1.75
441.74,1.98
443.74,2.22
445.74,1.97
447.74,1.67
449.74,1.39
451.74,1.28
453.74,1.37
455.74,1.46
457.74,1.56
459.74,1.63
461.74,1.7
463.74,1.87
465.74,1.63
468.74,1.45
470.74,1.22
472.74,1.08
474.74,1.18
476.74,1.21
478.74,1.21
479.74,1.4
481.74,1.64
483.74,1.81
485.74,1.65
487.74,1.51
489.74,1.19
491.74,0.98
493.74,1.05
495.74,1.11
497.74,1.16
499.74,1.42
501.74,1.73
503.74,1.99
505.74,1.89
507.74,1.74
510.74,1.27
512.74,1.1
514.74,1.1
516.74,1.13
518.74,1.28
520.74,1.52
521.74,1.73
523.74,1.87
525.74,1.71
527.74,1.41
529.74,0.92
531.74,0.86
533.74,0.92
535.74,1.26
537.74,1.45
539.74,1.65
541.74,1.84
543.74,1.94
545.74,1.69
547.74,1.6
549.74,1.26
551.74,1.17
554.74,1.06
556.74,1.15
558.74,1.19
560.74,1.38
562.74,1.43
563.74,1.63
565.74,1.52
567.74,1.46
569.74,1.04
571.74,0.84
573.74,0.88
575.74,1.05
577.74,0.98
579.74,1.29
581.74,1.45
583.74,1.75
585.74,1.7
587.74,1.55
589.74,1.12
591.74,1.08
593.74,1.09
596.74,1.15
598.74,1.24
600.74,1.6
602.74,1.86
604.74,2.06
606.74,1.94
607.74,1.66
609.74,1.33
611.74,1.13
613.74,1.01
615.74,1.19
617.74,1.34
619.74,1.51
621.74,1.62
623.74,1.72
625.74,1.56
627.74,1.26
629.74,0.94
631.74,0.75
633.74,0.76
635.74,0.98
638.74,1.25
640.74,1.43
642.74,1.65
644.74,1.86
646.74,1.55
648.74,1.28
649.74,0.94
651.74,0.92
653.74,1.01
655.74,0.98
657.74,1.25
659.74,1.44
661.74,1.63
663.74,1.57
665.74,1.45
667.74,1.2
669.74,0.83
671.74,0.86
673.74,1.13
675.74,1.11
677.74,1.05
679.74,1.22
682.74,1.36
684.74,1.5
686.74,1.39
688.74,1.21
690.74,0.86
691.74,0.77
693.74,0.76
695.74,0.94
697.74,0.97
699.74,1.32
701.74,1.53
703.74,1.72
705.74,1.58
707.74,1.43
709.74,0.84
711.74,0.55
713.74,0.62
715.74,0.77
717.74,0.93
719.74,1.22
721.74,1.61
724.74,2.05
726.74,2.01
728.74,1.91
730.74,1.62
732.74,1.58
734.74,1.61
735.74,1.82
737.74,2.11
739.74,2.45
741.74,2.43
743.74,2.44
745.74,2.24
747.74,2.01
749.74,1.53
751.74,1.54
753.74,1.71
755.74,1.65
757.74,1.54
759.74,1.64
761.74,1.66
763.74,1.87
766.74,1.7
768.74,1.6
770.74,1.38
772.74,1.52
774.74,1.62
776.74,1.84
777.74,1.84
779.74,1.99
781.74,2.13
783.74,2.29
785.74,2.19
787.74,1.85
789.74,1.41
791.74,1.3
793.74,1.36
795.74,1.15
797.74,1.0
799.74,1.2
801.74,1.43
803.74,1.52
805.74,1.35
807.74,1.29
810.74,0.95
812.74,0.81
814.74,0.93
816.74,1.08
818.74,1.37
819.74,1.48
821.74,1.7
823.74,1.69
825.74,1.69
827.74,1.41
829.74,1.05
831.74,1.09
833.74,1.13
835.74,1.15
837.74,1.45
839.74,1.46
841.74,1.67
843.74,1.84
845.74,1.61
847.74,1.3
849.74,1.01
852.74,1.11
854.74,1.17
856.74,1.29
858.74,1.49
860.74,1.58
862.74,1.74
863.74,1.86
865.74,1.7
867.74,1.42
869.74,1.12
871.74,1.29
873.74,1.48
875.74,1.56
877.74,1.65
879.74,1.72
881.74,1.72
883.74,1.79
885.74,1.52
887.74,1.36
889.74,0.91
891.74,0.81
894.74,0.76
896.74,0.85
898.74,0.87
900.74,1.02
902.74,1.1
904.74,1.27
905.74,1.1
907.74,0.91
909.74,0.46
911.74,0.35
913.74,0.49
915.74,0.66
917.74,0.89
919.74,1.11
921.74,1.18
923.74,1.43
925.74,1.26
927.74,0.96
929.74,0.57
931.74,0.74
933.74,0.72
935.74,0.85
938.74,1.05
940.74,1.28
942.74,1.43
944.74,1.59
946.74,1.31
947.74,0.98
949.74,0.63
951.74,0.69
953.74,0.79
955.74,0.79
957.74,0.92
959.74,1.01
961.74,1.05
963.74,1.21
965.74,1.06
967.74,0.97
969.74,0.74
971.74,0.66
973.74,0.92
975.74,1.05
977.74,1.17
980.74,1.39
982.74,1.73
984.74,2.01
986.74,2.03
988.74,1.78
