time,ch2
1.0,1.51
3.0,1.48
5.0,1.34
7.0,1.53
9.0,1.44
11.0,1.45
13.0,1.51
15.0,1.43
17.0,1.47
19.0,1.39
21.0,1.45
23.0,1.52
25.0,1.45
27.0,1.54
29.0,1.5
31.0,1.63
33.0,1.54
35.0,1.57
37.0,1.58
39.0,1.54
41.0,1.37
44.0,1.51
46.0,1.46
48.0,1.5
49.0,1.52
51.0,1.5
53.0,1.58
55.0,1.59
57.0,1.57
59.0,1.57
61.0,1.46
63.0,1.41
65.0,1.42
67.0,1.39
69.0,1.38
71.0,1.5
73.0,1.5
75.0,1.43
77.0,1.42
79.0,1.38
81.0,1.38
83.0,1.37
86.0,1.27
88.0,1.27
90.0,1.24
92.0,1.39
94.0,1.4
95.0,1.33
97.0,1.41
99.0,1.43
101.0,1.43
103.0,1.36
105.0,1.4
107.0,1.52
109.0,1.57
111.0,1.48
113.0,1.42
115.0,1.29
117.0,1.34
119.0,1.17
121.0,1.2
123.0,1.21
125.0,1.25
128.0,1.36
130.0,1.42
132.0,1.45
134.0,1.32
136.0,1.29
138.0,1.24
139.0,1.3
141.0,2.56
143.0,2.15
145.0,1.79
147.0,1.79
149.0,1.75
151.0,1.62
153.0,1.45
155.0,1.36
157.0,1.43
159.0,1.41
161.0,1.41
163.0,1.39
165.0,1.39
167.0,1.53
169.0,1.45
172.0,1.42
174.0,1.41
176.0,1.42
178.0,1.46
180.0,1.54
181.0,1.52
183.0,1.5
185.0,1.47
187.0,1.52
189.0,1.57
191.0,1.7
193.0,1.69
195.0,2.29
197.0,2.39
199.0,2.17
201.0,2.0
203.0,1.76
205.0,1.65
207.0,1.64
209.0,1.67
211.0,1.7
214.0,1.63
216.0,1.63
218.0,1.65
220.0,1.51
222.0,1.44
224.0,1.46
225.0,1.4
227.0,1.5
229.0,1.55
231.0,1.51
233.0,1.56
235.0,1.5
237.0,1.43
239.0,1.45
241.0,1.57
243.0,1.45
245.0,1.47
247.0,1.62
249.0,1.6
251.0,1.65
253.0,1.52
256.0,1.5
258.0,1.46
260.0,1.52
262.0,1.62
264.0,1.61
266.0,1.53
267.0,1.59
269.0,1.54
271.0,1.48
273.0,1.57
275.0,1.53
277.0,1.66
279.0,1.71
281.0,1.68
283.0,1.61
285.0,1.57
287.0,1.57
289.0,1.69
291.0,1.71
293.0,1.68
295.0,1.72
297.0,1.77
300.0,1.73
302.0,1.69
304.0,1.56
306.0,1.55
308.0,1.72
309.0,1.77
311.0,1.73
313.0,1.71
315.0,1.7
317.0,1.68
319.0,1.57
321.0,1.55
323.0,1.53
325.0,1.52
327.0,1.65
329.0,1.69
331.0,1.7
333.0,1.64
335.0,1.58
337.0,1.54
339.0,1.46
342.0,1.48
344.0,1.45
346.0,1.49
348.0,1.65
350.0,1.64
352.0,1.56
