time,ch1
1.0,1.18
3.0,1.46
5.0,1.42
7.0,1.22
9.0,1.08
11.0,0.89
13.0,1.07
15.0,1.31
17.0,1.15
19.0,1.24
21.0,1.12
23.0,1.35
25.0,1.64
27.0,1.46
29.0,1.57
31.0,1.56
33.0,1.56
35.0,1.67
37.0,1.29
39.0,1.13
41.0,1.25
44.0,1.37
46.0,1.74
47.0,1.75
49.0,1.71
51.0,1.71
53.0,1.72
55.0,1.68
57.0,1.57
59.0,1.52
61.0,1.63
63.0,1.6
65.0,1.91
67.0,1.63
69.0,1.67
71.0,1.73
73.0,1.85
75.0,1.79
77.0,1.41
79.0,1.39
81.0,1.65
83.0,1.35
86.0,1.53
88.0,1.22
90.0,1.1
92.0,1.16
94.0,1.15
95.0,1.32
97.0,1.44
99.0,1.29
101.0,1.36
103.0,1.58
105.0,1.85
107.0,1.72
109.0,1.82
111.0,1.83
113.0,1.92
115.0,1.91
117.0,1.6
119.0,1.42
121.0,1.75
123.0,1.84
125.0,2.05
128.0,1.8
130.0,1.72
132.0,1.72
134.0,1.73
136.0,1.84
138.0,1.84
139.0,1.79
141.0,1.76
143.0,1.74
145.0,1.94
147.0,1.78
149.0,1.54
151.0,1.64
153.0,1.89
155.0,2.03
157.0,1.85
159.0,1.62
161.0,1.71
163.0,1.89
165.0,1.92
167.0,1.95
169.0,1.54
172.0,1.88
174.0,2.05
176.0,1.88
178.0,1.69
180.0,1.75
181.0,1.58
183.0,1.65
185.0,1.72
187.0,1.71
189.0,1.59
191.0,1.76
193.0,1.71
195.0,1.79
197.0,1.61
199.0,1.47
201.0,1.36
203.0,1.35
205.0,1.47
207.0,1.56
209.0,1.1
211.0,1.28
214.0,1.5
216.0,1.67
218.0,1.8
220.0,1.48
222.0,1.55
224.0,1.76
225.0,1.79
227.0,1.7
229.0,1.62
231.0,1.58
233.0,1.7
235.0,1.65
237.0,1.62
239.0,1.47
241.0,1.35
243.0,1.35
245.0,1.41
247.0,1.36
249.0,1.22
251.0,1.26
253.0,1.64
256.0,1.66
258.0,1.4
260.0,1.29
262.0,1.35
264.0,1.35
266.0,1.55
267.0,1.32
269.0,1.5
271.0,1.46
273.0,1.63
275.0,1.45
277.0,1.36
279.0,1.25
281.0,1.22
283.0,1.33
285.0,1.44
287.0,1.32
289.0,1.23
291.0,0.86
293.0,0.72
295.0,0.78
297.0,0.64
300.0,0.81
302.0,0.92
304.0,0.98
306.0,1.16
308.0,1.0
310.0,0.95
311.0,0.75
313.0,0.93
315.0,0.97
