time,ch1,ch2,ch3
1.0,1.54,1.46,1.41
3.0,1.54,1.46,1.39
5.0,1.5,1.46,1.4
7.0,1.47,1.46,1.41
9.0,1.47,1.46,1.42
11.0,1.48,1.46,1.41
13.0,1.48,1.46,1.4
15.0,1.48,1.45,1.38
17.0,1.46,1.46,1.39
19.0,1.45,1.45,1.4
21.0,1.44,1.46,1.39
23.0,1.42,1.46,1.38
25.0,1.43,1.46,1.38
27.0,1.45,1.46,1.37
29.0,1.45,1.46,1.36
31.0,1.47,1.46,1.34
33.0,1.46,1.46,1.33
35.0,1.45,1.45,1.35
37.0,1.45,1.45,1.35
39.0,1.46,1.46,1.35
41.0,1.46,1.45,1.35
43.0,1.44,1.46,1.29
45.0,1.49,1.46,1.27
47.0,1.5,1.46,1.29
49.0,1.51,1.46,1.33
51.0,1.53,1.46,1.36
53.0,1.53,1.45,1.35
55.0,1.51,1.45,1.33
57.0,1.49,1.45,1.32
59.0,1.42,1.46,1.32
61.0,1.44,1.45,1.31
63.0,1.52,1.45,1.32
65.0,1.52,1.46,1.31
67.0,1.48,1.46,1.31
69.0,1.48,1.46,1.32
71.0,1.5,1.46,1.34
73.0,1.52,1.46,1.34
75.0,1.5,1.45,1.34
77.0,1.48,1.45,1.35
79.0,1.45,1.45,1.38
81.0,1.47,1.45,1.4
83.0,1.43,1.46,1.4
86.0,1.35,1.46,1.39
87.0,1.36,1.46,1.38
89.0,1.42,1.46,1.4
91.0,1.45,1.46,1.4
93.0,1.47,1.46,1.42
95.0,1.45,1.45,1.44
97.0,1.44,1.45,1.45
99.0,1.42,1.45,1.45
101.0,1.5,1.46,1.44
103.0,1.5,1.46,1.45
105.0,1.48,1.46,1.47
107.0,1.45,1.46,1.49
109.0,1.44,1.46,1.49
111.0,1.47,1.46,1.49
113.0,1.47,1.45,1.48
115.0,1.45,1.45,1.48
117.0,1.47,1.45,1.47
119.0,1.48,1.45,1.44
121.0,1.48,1.45,1.46
123.0,1.47,1.46,1.47
125.0,1.45,1.46,1.46
128.0,1.44,1.46,1.45
129.0,1.45,1.46,1.46
131.0,1.44,1.46,1.47
133.0,1.45,1.45,1.48
135.0,1.5,1.45,1.51
137.0,1.53,1.45,1.53
