time,ch1,ch2,ch3
1.0,1.43,1.54,1.44
3.0,1.43,1.52,1.45
5.0,1.42,1.5,1.45
7.0,1.4,1.47,1.45
9.0,1.42,1.48,1.46
11.0,1.41,1.46,1.46
13.0,1.4,1.46,1.47
15.0,1.43,1.48,1.47
17.0,1.43,1.5,1.46
19.0,1.44,1.5,1.45
21.0,1.44,1.48,1.44
23.0,1.45,1.45,1.44
25.0,1.44,1.44,1.44
27.0,1.43,1.43,1.46
29.0,1.44,1.45,1.5
31.0,1.43,1.44,1.49
33.0,1.45,1.46,1.48
35.0,1.46,1.48,1.47
37.0,1.47,1.46,1.45
39.0,1.44,1.5,1.42
41.0,1.42,1.49,1.41
43.0,1.43,1.51,1.4
45.0,1.45,1.52,1.39
47.0,1.44,1.52,1.4
49.0,1.43,1.54,1.41
51.0,1.43,1.54,1.41
53.0,1.43,1.54,1.39
55.0,1.43,1.52,1.38
57.0,1.43,1.5,1.38
59.0,1.45,1.53,1.41
61.0,1.46,1.55,1.43
63.0,1.45,1.49,1.45
65.0,1.46,1.45,1.43
67.0,1.47,1.52,1.43
69.0,1.47,1.53,1.43
71.0,1.47,1.55,1.4
73.0,1.45,1.54,1.39
75.0,1.44,1.52,1.36
77.0,1.43,1.49,1.34
79.0,1.42,1.5,1.32
81.0,1.44,1.5,1.32
83.0,1.45,1.49,1.37
86.0,1.44,1.5,1.35
87.0,1.45,1.49,1.33
89.0,1.45,1.51,1.32
91.0,1.44,1.52,1.32
93.0,1.44,1.54,1.32
95.0,1.43,1.55,1.33
97.0,1.42,1.51,1.32
99.0,1.41,1.5,1.33
101.0,1.38,1.51,1.37
103.0,1.4,1.51,1.41
105.0,1.43,1.5,1.42
107.0,1.43,1.49,1.41
109.0,1.41,1.44,1.44
111.0,1.4,1.35,1.44
113.0,1.4,1.33,1.44
115.0,1.4,1.35,1.45
117.0,1.4,1.34,1.46
119.0,1.4,1.39,1.47
121.0,1.41,1.4,1.49
123.0,1.41,1.44,1.5
125.0,1.43,1.48,1.49
128.0,1.44,1.51,1.5
129.0,1.44,1.47,1.49
131.0,1.43,1.47,1.5
133.0,1.42,1.46,1.52
135.0,1.42,1.5,1.5
137.0,1.43,1.51,1.48
139.0,1.43,1.51,1.52
141.0,1.46,1.5,1.53
143.0,1.46,1.56,1.53
145.0,1.45,1.55,1.54
147.0,1.45,1.49,1.54
149.0,1.45,1.5,1.53
151.0,1.43,1.51,1.51
153.0,1.44,1.59,1.52
155.0,1.49,1.62,1.55
157.0,1.5,1.67,1.57
159.0,1.48,1.62,1.55
161.0,1.46,1.61,1.55
163.0,1.45,1.62,1.56
165.0,1.45,1.64,1.55
167.0,1.44,1.65,1.53
169.0,1.43,1.7,1.5
171.0,1.41,1.68,1.45
173.0,1.37,1.64,1.41
175.0,1.36,1.54,1.39
177.0,1.37,1.51,1.36
179.0,1.34,1.49,1.38
181.0,1.31,1.5,1.4
183.0,1.36,1.52,1.41
185.0,1.39,1.53,1.42
187.0,1.38,1.56,1.42
189.0,1.38,1.53,1.4
191.0,1.38,1.49,1.39
193.0,1.39,1.5,1.39
195.0,1.39,1.49,1.4
197.0,1.4,1.47,1.43
199.0,1.42,1.47,1.43
201.0,1.45,1.51,1.45
203.0,1.45,1.53,1.48
205.0,1.46,1.54,1.48
207.0,1.46,1.53,1.49
209.0,1.44,1.55,1.55
211.0,1.45,1.61,3.3
214.0,1.46,1.6,3.3
215.0,1.45,1.57,3.3
217.0,1.46,1.55,0.0
219.0,1.45,1.56,2.34
221.0,1.46,1.54,3.3
223.0,1.47,1.54,3.3
225.0,1.47,1.5,3.3
227.0,1.45,1.47,3.3
229.0,1.44,1.44,3.3
231.0,1.44,1.43,3.3
233.0,1.43,1.4,0.0
235.0,1.41,1.39,0.0
237.0,1.41,1.37,0.0
239.0,1.41,1.39,0.0
241.0,1.4,1.39,0.0
243.0,1.44,1.38,0.0
245.0,1.45,1.36,0.0
247.0,1.44,1.36,0.0
249.0,1.44,1.33,0.0
251.0,1.45,1.36,0.0
253.0,1.45,1.38,0.0
256.0,1.44,1.37,0.0
257.0,1.44,1.39,0.0
259.0,1.44,1.36,0.0
261.0,1.45,1.38,0.0
263.0,1.45,1.4,0.0
265.0,1.45,1.41,0.0
267.0,1.44,1.43,0.0
269.0,1.43,1.44,0.0
271.0,1.45,1.45,0.0
273.0,1.44,1.43,0.0
275.0,1.44,1.43,0.0
277.0,1.43,1.41,0.0
279.0,1.42,1.43,0.0
281.0,1.42,1.44,0.12
283.0,1.46,1.48,0.27
285.0,1.47,1.51,0.42
287.0,1.46,1.52,0.56
289.0,1.45,1.47,0.66
291.0,1.45,1.48,0.79
293.0,1.45,1.48,0.86
295.0,1.44,1.44,0.92
297.0,1.44,1.42,0.99
299.0,1.44,1.41,1.09
301.0,1.45,1.45,1.16
303.0,1.44,1.52,1.24
305.0,1.43,1.51,1.28
307.0,1.43,1.48,1.3
309.0,1.43,1.48,1.3
311.0,1.42,1.44,1.31
313.0,1.41,1.43,1.38
315.0,1.41,1.42,1.41
317.0,1.43,1.4,1.45
319.0,1.46,1.35,1.49
321.0,1.48,1.26,1.53
323.0,1.49,1.19,1.54
325.0,1.49,1.21,1.56
327.0,1.47,1.27,1.58
329.0,1.47,1.28,1.57
331.0,1.47,1.31,1.58
333.0,1.47,1.3,1.58
335.0,1.48,1.32,1.59
337.0,1.48,1.35,1.61
339.0,1.47,1.39,1.65
342.0,1.47,1.39,1.67
343.0,1.48,1.4,1.69
345.0,1.47,1.41,1.71
347.0,1.46,1.44,1.73
349.0,1.45,1.41,1.72
351.0,1.45,1.39,1.69
353.0,1.44,1.35,1.73
355.0,1.43,1.38,1.75
357.0,1.44,1.39,1.73
359.0,1.43,1.43,1.71
361.0,1.4,1.43,1.68
363.0,1.44,1.44,1.65
365.0,1.46,1.46,1.65
367.0,1.47,1.47,1.68
369.0,1.47,1.49,1.67
371.0,1.46,1.46,1.62
373.0,1.45,1.48,1.61
375.0,1.45,1.49,1.63
377.0,1.43,1.49,1.65
379.0,1.43,1.49,1.67
381.0,1.44,1.5,1.66
384.0,1.48,1.51,1.66
385.0,1.5,1.51,1.61
387.0,1.51,1.51,1.57
389.0,1.5,1.51,1.58
391.0,1.45,1.53,1.61
393.0,1.46,1.52,1.63
395.0,1.46,1.53,1.63
397.0,1.45,1.51,1.62
399.0,1.45,1.49,1.64
401.0,1.46,1.52,1.65
403.0,1.45,1.52,1.69
405.0,1.47,1.52,1.73
407.0,1.51,1.53,1.69
409.0,1.52,1.5,1.66
411.0,1.51,1.51,1.69
413.0,1.48,1.49,1.71
415.0,1.45,1.48,1.69
417.0,1.44,1.47,1.67
419.0,1.44,1.49,1.65
421.0,1.45,1.53,1.65
423.0,1.47,1.59,1.67
425.0,1.47,1.59,1.63
427.0,1.45,1.6,1.62
429.0,1.42,1.58,1.64
431.0,1.44,1.56,1.64
433.0,1.45,1.55,1.6
435.0,1.45,1.49,1.59
437.0,1.45,1.52,1.59
439.0,1.45,1.52,1.6
441.0,1.46,1.51,1.62
443.0,1.47,1.5,1.62
445.0,1.45,1.53,1.6
447.0,1.46,1.52,1.58
449.0,1.39,1.54,1.58
451.0,1.3,1.49,1.56
453.0,1.25,1.49,1.53
455.0,1.23,1.47,1.54
457.0,1.26,1.47,1.53
459.0,1.34,1.46,1.55
461.0,1.39,1.44,1.58
463.0,1.42,1.47,1.61
465.0,1.44,1.48,1.63
467.0,1.44,1.47,1.62
470.0,1.46,1.49,1.59
471.0,1.45,1.53,1.56
473.0,1.45,1.56,1.55
475.0,1.45,1.56,1.55
477.0,1.43,1.55,1.55
479.0,1.45,1.56,1.57
481.0,1.47,1.54,1.61
483.0,1.45,1.55,1.63
485.0,1.43,1.53,1.64
487.0,1.45,1.51,1.63
489.0,1.5,1.49,1.63
491.0,1.52,1.46,1.62
493.0,1.52,1.45,1.58
495.0,1.54,1.48,1.55
497.0,1.56,1.48,1.54
499.0,1.58,1.5,1.54
501.0,1.57,1.49,1.55
503.0,1.56,1.49,1.56
505.0,1.55,1.49,1.59
507.0,1.54,1.51,1.56
509.0,1.51,1.55,1.5
512.0,1.49,1.55,1.47
513.0,1.5,1.53,1.45
515.0,1.53,1.51,1.45
517.0,1.54,1.49,1.43
519.0,1.56,1.46,1.46
521.0,1.57,1.44,1.55
523.0,1.56,1.45,1.6
525.0,1.55,1.45,1.58
527.0,1.53,1.49,1.59
529.0,1.52,1.52,1.55
531.0,1.5,1.52,1.5
533.0,1.49,1.49,1.48
535.0,1.47,1.47,1.51
537.0,1.46,1.51,1.54
539.0,1.44,1.53,1.57
541.0,1.48,1.49,1.57
543.0,1.52,1.54,1.57
545.0,1.5,1.56,1.55
547.0,1.49,1.52,1.55
549.0,1.46,1.49,1.55
551.0,1.45,1.5,1.52
553.0,1.45,1.51,1.52
556.0,1.45,1.5,1.5
557.0,1.45,1.48,1.49
559.0,1.44,1.5,1.52
561.0,1.43,1.53,1.62
563.0,1.41,1.52,1.62
565.0,1.4,1.51,1.59
567.0,1.41,1.5,1.57
569.0,1.4,1.49,1.58
571.0,1.39,1.51,1.59
573.0,1.39,1.49,1.55
575.0,1.38,1.46,1.5
577.0,1.36,1.45,1.5
579.0,1.37,1.45,1.53
581.0,1.37,1.52,1.53
583.0,1.36,1.56,1.55
585.0,1.35,1.54,1.54
587.0,1.35,1.51,1.51
589.0,1.36,1.53,1.49
591.0,1.36,1.56,1.47
593.0,1.35,1.54,1.44
595.0,1.32,1.53,1.42
598.0,1.3,1.51,1.39
599.0,1.34,1.52,1.4
601.0,1.35,1.53,1.42
603.0,1.34,1.52,1.44
605.0,1.33,1.54,1.42
607.0,1.33,1.55,1.42
609.0,1.31,1.55,1.42
611.0,1.31,1.53,1.42
613.0,1.32,1.47,1.4
615.0,1.31,1.46,1.41
617.0,1.31,1.51,1.42
619.0,1.32,1.54,1.42
621.0,1.33,1.52,1.43
623.0,1.31,1.53,1.43
625.0,1.33,1.53,1.41
627.0,1.35,1.59,1.42
629.0,1.38,1.61,1.4
631.0,1.38,1.6,1.37
633.0,1.38,1.57,1.34
635.0,1.38,1.6,1.38
637.0,1.38,1.59,1.4
640.0,1.37,1.57,1.42
641.0,1.38,1.55,1.45
643.0,1.37,1.57,1.5
645.0,1.39,1.55,1.52
647.0,1.4,1.56,1.5
649.0,1.42,1.53,1.49
651.0,1.45,1.54,1.49
653.0,1.46,1.48,1.47
655.0,1.46,1.44,1.45
657.0,1.46,1.44,1.44
659.0,1.48,1.42,1.46
661.0,1.5,1.46,1.48
663.0,1.5,1.48,1.49
665.0,1.48,1.47,1.47
667.0,1.43,1.46,1.46
669.0,1.45,1.46,1.47
671.0,1.42,1.45,1.46
673.0,1.43,1.4,1.46
675.0,1.43,1.38,1.45
