time,ch1,ch2,ch3
1.0,1.55,1.46,1.44
3.0,1.52,1.46,1.44
5.0,1.49,1.46,1.44
7.0,1.49,1.46,1.44
9.0,1.46,1.46,1.44
11.0,1.43,1.46,1.44
13.0,1.46,1.46,1.44
15.0,1.52,1.46,1.44
17.0,1.58,1.46,1.44
19.0,1.56,1.46,1.44
21.0,1.54,1.46,1.44
23.0,1.51,1.46,1.44
25.0,1.48,1.46,1.44
27.0,1.46,1.46,1.44
29.0,1.44,1.46,1.44
31.0,1.45,1.46,1.44
33.0,1.45,1.46,1.44
35.0,1.46,1.46,1.44
37.0,1.49,1.46,1.44
39.0,1.49,1.45,1.44
41.0,1.51,1.46,1.44
43.0,1.54,1.46,1.44
45.0,1.52,1.46,1.44
47.0,1.49,1.46,1.44
49.0,1.56,1.46,1.44
51.0,1.55,1.46,1.44
53.0,1.54,1.46,1.44
55.0,1.55,1.46,1.44
57.0,1.55,1.46,1.44
59.0,1.54,1.46,1.44
61.0,1.53,1.45,1.44
63.0,1.51,1.46,1.44
65.0,1.5,1.46,1.44
67.0,1.5,1.46,1.44
69.0,1.48,1.46,1.44
71.0,1.48,1.46,1.44
73.0,1.5,1.46,1.44
75.0,1.5,1.46,1.44
77.0,1.53,1.46,1.44
79.0,1.53,1.46,1.44
81.0,1.5,1.46,1.44
83.0,1.48,1.45,1.44
86.0,1.46,1.46,1.44
87.0,1.45,1.46,1.44
89.0,1.43,1.46,1.44
91.0,1.42,1.46,1.44
93.0,1.43,1.46,1.44
95.0,1.45,1.46,1.44
97.0,1.46,1.46,1.44
99.0,1.47,1.45,1.44
101.0,1.5,1.46,1.44
103.0,1.48,1.46,1.44
105.0,1.44,1.46,1.44
107.0,1.43,1.46,1.44
109.0,1.42,1.46,1.44
111.0,1.42,1.46,1.44
113.0,1.44,1.46,1.44
115.0,1.43,1.46,1.44
117.0,1.45,1.46,1.44
119.0,1.47,1.46,1.44
121.0,1.46,1.46,1.44
123.0,1.45,1.46,1.44
125.0,1.44,1.46,1.44
128.0,1.43,1.46,1.44
129.0,1.39,1.46,1.44
131.0,1.36,1.46,1.44
133.0,1.38,1.46,1.44
135.0,1.41,1.46,1.44
137.0,1.43,1.45,1.44
139.0,1.44,1.46,1.44
141.0,1.4,1.45,1.44
143.0,1.37,1.46,1.44
