time,ch1,ch2,ch3,button
1.0,1.2,2.83,1.52,0
3.0,1.15,3.3,1.47,0
5.0,1.21,1.88,1.37,0
7.0,1.31,0.0,1.3,0
9.0,1.32,0.0,1.28,0
11.0,1.42,0.0,1.27,0
13.0,1.45,0.0,1.3,0
15.0,1.4,0.0,1.33,0
17.0,1.33,0.0,1.33,0
19.0,1.25,0.0,1.34,0
21.0,1.24,1.72,1.41,0
23.0,1.33,3.3,1.39,0
25.0,1.34,2.1,1.32,0
27.0,1.43,0.0,1.25,0
29.0,1.44,0.0,1.22,0
31.0,1.3,0.0,1.2,0
33.0,1.4,0.0,1.21,0
35.0,1.38,0.0,1.25,0
37.0,1.45,0.0,1.27,0
39.0,1.6,0.0,1.29,0
41.0,1.46,3.3,1.4,0
43.0,1.35,3.3,1.38,0
45.0,1.29,2.35,1.31,0
47.0,1.24,0.0,1.23,0
49.0,1.35,0.0,1.2,0
51.0,1.44,0.0,1.18,0
53.0,1.45,0.0,1.18,0
55.0,1.43,0.0,1.19,0
57.0,1.35,0.0,1.22,0
59.0,1.31,0.0,1.27,0
61.0,1.25,1.27,1.33,0
63.0,1.23,3.3,1.35,0
65.0,1.33,1.82,1.28,0
67.0,1.37,0.0,1.23,0
69.0,1.38,0.0,1.19,0
71.0,1.39,0.0,1.19,0
73.0,1.4,0.0,1.21,0
75.0,1.34,0.06,1.23,0
77.0,1.22,0.21,1.23,0
79.0,1.19,0.37,1.26,0
81.0,1.15,1.56,1.32,0
83.0,1.06,3.3,1.32,0
86.0,1.14,2.44,1.25,0
87.0,1.15,0.39,1.15,0
89.0,1.15,0.26,1.11,0
91.0,1.22,0.38,1.13,0
93.0,1.13,0.51,1.15,0
95.0,1.15,0.63,1.19,0
97.0,1.21,0.75,1.2,0
99.0,1.2,0.87,1.25,0
101.0,1.13,2.0,1.31,0
103.0,1.24,3.3,1.3,0
105.0,1.27,2.45,1.25,0
107.0,1.31,0.85,1.18,0
109.0,1.39,0.75,1.13,0
111.0,1.45,0.84,1.1,0
113.0,1.46,0.94,1.1,0
115.0,1.44,1.02,1.07,0
117.0,1.41,1.11,1.05,0
119.0,1.4,1.2,1.08,0
121.0,1.38,2.64,1.18,0
123.0,1.43,3.3,1.21,0
125.0,1.46,2.45,1.19,0
128.0,1.43,1.14,1.16,0
130.0,1.57,1.06,1.16,0
132.0,1.67,1.13,1.13,0
134.0,1.66,1.2,1.05,0
135.0,1.58,1.25,1.12,0
137.0,1.53,1.32,1.18,0
139.0,1.44,1.39,1.28,0
141.0,1.38,3.3,1.39,0
143.0,1.45,3.3,1.4,0
145.0,1.43,2.38,1.35,0
147.0,1.53,0.43,1.31,0
149.0,1.54,0.3,1.3,0
151.0,1.54,0.42,1.33,0
153.0,1.49,0.55,1.34,0
155.0,1.46,0.66,1.43,0
157.0,1.38,0.77,1.47,0
159.0,1.37,0.89,1.51,0
161.0,1.34,3.3,1.61,0
163.0,1.39,3.3,1.58,0
165.0,1.38,2.13,1.51,0
167.0,1.36,0.0,1.43,0
169.0,1.47,0.0,1.42,0
172.0,1.57,0.0,1.43,0
174.0,1.57,0.0,1.49,0
176.0,1.47,0.0,1.56,0
177.0,1.29,0.12,1.61,0
179.0,1.18,0.29,1.66,0
181.0,1.25,3.3,1.75,0
183.0,1.28,3.3,1.75,0
185.0,1.26,1.88,1.66,0
187.0,1.27,0.0,1.57,0
189.0,1.35,0.0,1.57,0
191.0,1.37,0.0,1.58,0
193.0,1.39,0.0,1.56,0
195.0,1.37,0.0,1.56,0
197.0,1.34,0.0,1.56,0
199.0,1.35,0.0,1.59,0
201.0,1.34,3.3,1.69,0
203.0,1.36,3.3,1.67,0
205.0,1.44,1.52,1.55,0
207.0,1.42,0.0,1.49,0
209.0,1.34,0.0,1.45,0
211.0,1.42,0.0,1.45,0
214.0,1.5,0.0,1.49,0
216.0,1.49,0.0,1.56,0
218.0,1.34,0.0,1.58,0
220.0,1.25,0.0,1.6,0
221.0,1.21,3.3,1.69,0
223.0,1.34,3.3,1.65,0
225.0,1.46,1.46,1.55,0
227.0,1.41,0.0,1.5,0
229.0,1.45,0.0,1.48,0
231.0,1.47,0.0,1.45,0
233.0,1.48,0.0,1.45,0
235.0,1.39,0.0,1.45,0
237.0,1.35,0.0,1.45,0
239.0,1.3,0.0,1.46,0
241.0,1.16,3.3,1.54,0
243.0,1.27,3.3,1.49,0
245.0,1.32,1.43,1.34,0
247.0,1.36,0.0,1.26,0
249.0,1.46,0.0,1.23,0
251.0,1.43,0.0,1.21,0
253.0,1.52,0.0,1.22,0
256.0,1.53,0.0,1.23,0
258.0,1.48,0.0,1.24,0
260.0,1.38,0.0,1.28,0
262.0,1.29,3.3,1.37,0
264.0,1.37,3.3,1.34,0
265.0,1.4,1.29,1.19,0
267.0,1.46,0.0,1.15,0
269.0,1.63,0.0,1.14,0
271.0,1.46,0.0,1.17,0
273.0,1.35,0.0,1.21,0
275.0,1.43,0.0,1.25,0
277.0,1.41,0.0,1.28,0
279.0,1.37,0.0,1.33,0
281.0,1.42,3.3,1.43,0
283.0,1.37,3.3,1.41,0
285.0,1.42,0.88,1.28,0
287.0,1.47,0.0,1.3,0
289.0,1.49,0.0,1.32,0
291.0,1.45,0.0,1.36,0
293.0,1.43,0.0,1.4,0
295.0,1.37,0.0,1.47,0
297.0,1.28,0.0,1.66,0
