time,ch1,ch2,ch3,button
1.0,0.98,1.92,1.14,0
3.0,0.99,1.92,1.09,0
5.0,1.18,1.81,1.06,0
7.0,1.05,1.74,1.03,0
9.0,1.34,1.61,1.0,0
11.0,1.36,1.53,1.05,0
13.0,1.25,1.35,1.06,0
15.0,1.18,1.26,1.1,0
17.0,1.3,1.25,1.16,0
19.0,1.29,1.32,1.21,0
21.0,1.3,1.41,1.21,0
23.0,1.22,1.42,1.2,0
25.0,1.26,1.37,1.22,0
27.0,1.23,1.37,1.28,0
29.0,0.99,1.39,1.32,0
31.0,1.38,1.42,1.42,0
33.0,1.52,1.33,1.4,0
35.0,1.41,1.34,1.41,0
37.0,1.52,1.38,1.5,0
39.0,1.47,1.53,1.55,0
41.0,1.43,1.62,1.46,0
43.0,1.28,1.62,1.45,0
45.0,1.31,1.51,1.4,0
47.0,1.45,1.4,1.37,0
49.0,1.48,1.22,1.43,0
51.0,1.17,1.21,1.45,0
53.0,1.23,1.25,1.51,0
55.0,1.37,1.25,1.51,0
57.0,1.47,1.26,1.55,0
59.0,1.52,1.39,1.53,0
61.0,1.52,1.44,1.54,0
63.0,1.52,1.5,1.56,0
65.0,1.54,1.46,1.53,0
67.0,1.53,1.47,1.52,0
69.0,1.5,1.35,1.48,0
71.0,1.52,1.26,1.48,0
73.0,1.54,1.13,1.49,0
75.0,1.75,1.12,1.55,0
77.0,1.69,1.17,1.57,0
79.0,1.4,1.29,1.6,0
81.0,1.49,1.3,1.61,0
83.0,1.65,1.42,1.67,0
86.0,1.64,1.46,1.62,0
87.0,1.53,1.52,1.53,0
89.0,1.57,1.44,1.54,0
91.0,1.51,1.45,1.51,0
93.0,1.54,1.39,1.5,0
95.0,1.46,1.44,1.6,0
97.0,1.42,1.52,1.62,0
99.0,1.6,1.7,1.74,0
101.0,1.46,1.8,1.79,0
103.0,1.57,1.93,1.79,0
105.0,1.63,1.95,1.66,0
107.0,1.73,1.89,1.55,0
109.0,1.58,1.74,1.53,0
111.0,1.33,1.68,1.45,0
113.0,1.54,1.6,1.38,0
115.0,1.61,1.58,1.36,0
117.0,1.58,1.61,1.39,0
119.0,1.58,1.6,1.45,0
121.0,1.57,1.65,1.46,0
123.0,1.45,1.73,1.4,0
125.0,1.61,1.7,1.29,0
128.0,1.58,1.55,1.18,0
129.0,1.68,1.35,1.16,0
131.0,1.73,1.14,1.23,0
133.0,1.59,0.94,1.25,0
135.0,1.54,0.93,1.15,0
137.0,1.4,0.95,1.15,0
139.0,1.44,0.99,1.2,0
141.0,1.56,0.99,1.26,0
143.0,1.61,1.08,1.43,0
145.0,1.56,1.08,1.45,0
147.0,1.65,1.04,1.35,0
149.0,1.78,0.93,1.22,0
151.0,1.66,0.91,1.16,0
153.0,1.62,0.79,1.17,0
155.0,1.64,0.85,1.29,0
157.0,1.64,0.89,1.23,0
159.0,1.61,0.96,1.1,0
161.0,1.73,0.96,0.96,0
163.0,1.79,0.97,0.74,0
165.0,1.73,0.98,0.45,0
167.0,1.48,0.95,0.39,0
169.0,1.53,0.83,0.5,0
172.0,1.64,0.89,0.43,0
174.0,1.64,0.97,0.35,0
176.0,1.47,1.03,0.45,0
177.0,1.51,1.09,0.88,0
179.0,1.59,1.24,1.54,0
181.0,1.31,1.23,2.79,0
183.0,1.4,1.3,3.25,0
185.0,1.56,1.36,3.19,0
187.0,1.6,1.26,2.78,0
189.0,1.56,1.13,1.89,0
191.0,1.59,1.17,1.32,0
193.0,1.6,1.12,1.08,0
195.0,1.54,1.1,0.85,0
197.0,1.51,1.11,0.62,0
199.0,1.24,1.16,0.28,0
201.0,1.54,1.21,0.17,0
203.0,1.64,1.27,0.01,0
205.0,1.52,1.25,0.01,0
207.0,1.52,1.2,1.23,0
209.0,1.59,1.15,2.42,0
211.0,1.52,1.15,2.69,0
214.0,1.29,1.12,2.53,0
216.0,1.39,1.24,2.51,0
218.0,1.53,1.3,2.55,0
220.0,1.51,1.35,2.52,0
221.0,1.49,1.4,2.0,0
223.0,1.42,1.4,1.62,0
225.0,1.48,1.31,1.33,0
227.0,1.52,1.24,1.24,0
229.0,1.34,1.13,1.21,0
231.0,1.52,1.12,0.01,0
233.0,1.64,1.14,0.01,0
235.0,1.56,1.25,0.01,0
237.0,1.59,1.37,0.01,0
239.0,1.54,1.5,0.02,0
241.0,1.53,1.59,0.02,0
243.0,1.5,1.66,0.02,0
245.0,1.32,1.63,0.02,0
247.0,1.37,1.62,0.02,0
249.0,1.55,1.48,0.02,0
251.0,1.66,1.4,0.01,0
253.0,1.52,1.35,0.01,0
256.0,1.2,1.39,0.18,0
258.0,1.59,1.48,0.58,0
260.0,1.55,1.61,0.87,0
262.0,1.57,1.69,1.67,0
263.0,1.57,1.74,2.55,0
265.0,1.56,1.75,2.99,0
267.0,1.57,1.72,3.26,0
269.0,1.59,1.6,3.26,0
271.0,1.54,1.55,3.18,0
273.0,1.5,1.54,3.0,0
275.0,1.48,1.58,2.95,0
277.0,1.62,1.62,3.03,0
279.0,1.46,1.61,2.99,0
281.0,1.37,1.68,2.82,0
283.0,1.44,1.74,2.47,0
285.0,1.76,1.7,2.04,0
287.0,1.78,1.65,1.52,0
289.0,1.52,1.59,1.39,0
291.0,1.4,1.54,1.46,0
293.0,1.61,1.54,0.68,0
295.0,1.68,1.58,0.02,0
297.0,1.55,1.63,0.02,0
300.0,1.37,1.69,0.03,0
302.0,1.28,1.75,0.03,0
304.0,1.51,1.83,0.03,0
306.0,1.74,1.81,0.03,0
307.0,1.68,1.77,0.02,0
309.0,1.84,1.61,0.02,0
311.0,1.83,1.49,0.02,0
313.0,1.6,1.41,0.01,0
315.0,1.62,1.45,0.02,0
317.0,1.52,1.48,0.02,0
319.0,1.55,1.55,0.02,0
321.0,1.58,1.6,0.02,0
323.0,1.31,1.66,0.02,0
