time,ch1,ch2,ch3,button
1.0,0.0,3.3,3.3,0
3.0,0.0,3.3,3.3,0
5.0,0.98,3.3,3.3,0
7.0,3.3,3.3,3.3,0
9.0,3.3,3.3,3.3,0
11.0,3.3,3.3,3.3,0
13.0,3.3,3.3,3.3,0
15.0,3.3,3.3,3.3,0
17.0,3.3,3.3,3.3,0
19.0,0.0,3.3,3.3,0
21.0,0.0,3.3,3.3,0
23.0,0.0,3.3,3.3,0
25.0,2.1,3.3,3.3,0
27.0,3.3,3.3,3.3,0
29.0,3.3,3.3,3.3,0
31.0,3.3,3.3,3.3,0
33.0,3.3,3.3,3.3,0
35.0,3.3,3.3,3.3,0
37.0,3.3,3.3,3.3,0
39.0,0.0,3.3,3.3,0
41.0,0.0,3.3,3.3,0
43.0,0.0,3.3,3.3,0
45.0,3.3,3.3,3.3,0
47.0,3.3,3.3,3.3,0
49.0,3.3,3.3,3.3,0
51.0,3.3,3.3,3.3,0
53.0,3.3,3.3,3.3,0
55.0,3.3,3.3,3.3,0
57.0,3.3,3.3,3.3,0
59.0,0.0,3.3,3.3,0
61.0,0.0,3.3,3.3,0
63.0,0.0,3.3,3.3,0
65.0,3.3,3.3,3.3,0
67.0,3.3,3.3,3.3,0
69.0,3.3,3.3,3.3,0
71.0,3.3,3.3,3.3,0
73.0,3.3,3.3,3.3,0
75.0,3.3,3.3,3.3,0
77.0,3.3,3.3,3.3,0
79.0,0.0,3.3,3.3,0
81.0,0.0,3.3,3.3,0
83.0,0.0,3.3,3.3,0
86.0,3.3,3.3,3.3,0
87.0,3.3,3.3,3.3,0
89.0,3.3,3.3,3.3,0
91.0,3.3,3.3,3.3,0
93.0,3.3,3.3,3.3,0
95.0,3.3,3.3,3.3,0
97.0,3.3,3.3,3.3,0
99.0,0.0,3.3,3.3,0
101.0,0.0,3.3,3.3,0
103.0,0.0,3.3,3.3,0
105.0,3.3,3.3,3.3,0
107.0,3.3,3.3,3.3,0
109.0,3.3,3.3,3.3,0
111.0,3.3,3.3,3.3,0
113.0,3.3,3.3,3.3,0
115.0,3.3,3.3,3.3,0
117.0,3.3,3.3,3.3,0
119.0,0.0,3.3,3.3,0
121.0,0.0,3.3,3.3,0
123.0,0.0,3.3,3.3,0
125.0,3.3,3.3,3.3,0
128.0,3.3,3.3,3.3,0
130.0,3.3,3.3,3.3,0
132.0,3.3,3.3,3.3,0
133.0,3.3,3.3,3.3,0
135.0,3.3,3.3,3.3,0
137.0,3.3,3.3,3.3,0
139.0,0.0,3.3,3.3,0
141.0,0.0,3.3,3.3,0
143.0,0.0,3.3,3.3,0
145.0,3.3,3.3,3.3,0
147.0,3.3,3.3,3.3,0
149.0,3.3,3.3,3.3,0
151.0,3.3,3.3,3.3,0
153.0,3.3,3.3,3.3,0
155.0,3.3,3.3,3.3,0
157.0,3.3,3.3,3.3,0
159.0,0.0,3.3,3.3,0
161.0,0.0,3.3,3.3,0
163.0,0.0,3.3,3.3,0
165.0,3.3,3.3,3.3,0
167.0,3.3,3.3,3.3,0
169.0,3.3,3.3,3.3,0
172.0,3.3,3.3,3.3,0
174.0,3.3,3.3,3.3,0
176.0,3.3,3.3,3.3,0
178.0,0.61,3.3,3.3,0
180.0,0.0,3.3,3.3,0
181.0,0.0,3.3,3.3,0
183.0,0.0,3.3,3.3,0
185.0,3.3,3.3,3.3,0
187.0,3.3,3.3,3.3,0
189.0,3.3,3.3,3.3,0
191.0,3.3,3.3,3.3,0
193.0,3.3,3.3,3.3,0
195.0,3.3,3.3,3.3,0
197.0,0.0,3.3,3.3,0
199.0,0.0,3.3,3.3,0
201.0,0.0,3.3,3.3,0
203.0,0.0,3.3,3.3,0
205.0,3.3,3.3,3.3,0
207.0,3.3,3.3,3.3,0
209.0,3.3,3.3,3.3,0
211.0,3.3,3.3,3.3,0
214.0,3.3,3.3,3.3,0
216.0,3.3,3.3,3.3,0
218.0,0.0,3.3,3.3,0
220.0,0.0,3.3,3.3,0
222.0,0.0,3.3,3.3,0
224.0,0.0,3.3,3.3,0
226.0,3.3,3.3,3.3,0
228.0,3.3,3.3,3.3,0
229.0,3.3,3.3,3.3,0
231.0,3.3,3.3,3.3,0
233.0,3.3,3.3,3.3,0
235.0,3.3,3.3,3.3,0
237.0,0.0,3.3,3.3,0
239.0,0.0,3.3,3.3,0
241.0,0.0,3.3,3.3,0
243.0,0.0,3.3,3.3,0
245.0,3.3,3.3,3.3,0
247.0,3.3,3.3,3.3,0
249.0,3.3,3.3,3.3,0
251.0,3.3,3.3,3.3,0
253.0,3.3,3.3,3.3,0
256.0,3.3,3.3,3.3,0
258.0,0.0,3.3,3.3,0
260.0,0.0,3.3,3.3,0
262.0,0.0,3.3,3.3,0
264.0,0.0,3.3,3.3,0
266.0,3.3,3.3,3.3,0
268.0,3.3,3.3,3.3,0
270.0,3.3,3.3,3.3,0
272.0,3.3,3.3,3.3,0
274.0,3.3,3.3,3.3,0
276.0,3.3,3.3,3.3,0
277.0,0.0,3.3,3.3,0
279.0,0.0,3.3,3.3,0
281.0,0.0,3.3,3.3,0
283.0,0.0,3.3,3.3,0
285.0,3.3,3.3,3.3,0
287.0,3.3,3.3,3.3,0
289.0,3.3,3.3,3.3,0
291.0,3.3,3.3,3.3,0
293.0,3.3,3.3,3.3,0
