time,ch1,ch2,ch3,button
1.0,1.36,1.23,3.27,0
3.0,1.39,1.23,3.27,0
5.0,1.4,1.23,3.27,0
7.0,1.38,1.23,3.27,0
9.0,1.38,1.23,3.27,0
11.0,1.38,1.23,3.27,0
13.0,1.38,1.24,3.27,0
15.0,1.37,1.24,3.27,0
17.0,1.38,1.25,3.27,0
19.0,1.39,1.26,3.27,0
21.0,1.43,1.27,3.27,0
23.0,1.44,1.27,3.27,0
25.0,1.41,1.27,3.27,0
27.0,1.47,1.27,3.15,0
29.0,1.52,1.27,3.02,0
31.0,1.51,1.26,2.99,0
33.0,1.45,1.27,3.25,0
35.0,1.49,1.28,3.27,0
37.0,1.53,1.28,3.27,0
39.0,1.53,1.29,3.22,0
41.0,1.51,1.3,3.12,0
43.0,1.51,1.3,2.99,0
45.0,1.5,1.3,2.88,0
47.0,1.46,1.3,2.77,0
49.0,1.47,1.29,2.66,0
51.0,1.49,1.29,2.48,0
53.0,1.53,1.29,2.32,0
55.0,1.55,1.3,2.15,0
57.0,1.61,1.3,2.08,0
59.0,1.68,1.31,2.07,0
61.0,1.7,1.32,2.04,0
63.0,1.67,1.32,1.9,0
65.0,1.72,1.31,1.82,0
67.0,1.76,1.31,1.84,0
69.0,1.7,1.31,1.86,0
71.0,1.69,1.3,1.87,0
73.0,1.72,1.31,1.87,0
75.0,1.71,1.31,1.82,0
77.0,1.71,1.32,1.81,0
79.0,1.68,1.32,1.78,0
81.0,1.61,1.33,1.75,0
83.0,1.56,1.33,1.69,0
86.0,1.54,1.33,1.63,0
87.0,1.5,1.33,1.58,0
89.0,1.46,1.32,1.52,0
91.0,1.41,1.32,1.5,0
93.0,1.43,1.32,1.47,0
95.0,1.47,1.32,1.44,0
97.0,1.5,1.33,1.41,0
99.0,1.48,1.34,1.31,0
101.0,1.46,1.35,1.23,0
103.0,1.46,1.35,1.14,0
105.0,1.49,1.35,1.07,0
107.0,1.54,1.34,1.09,0
109.0,1.47,1.33,1.11,0
111.0,1.52,1.33,1.1,0
113.0,1.54,1.34,1.12,0
115.0,1.51,1.34,1.14,0
117.0,1.48,1.34,1.13,0
119.0,1.47,1.35,1.13,0
121.0,1.46,1.35,1.15,0
123.0,1.48,1.35,1.19,0
125.0,1.5,1.35,1.19,0
128.0,1.53,1.35,1.15,0
129.0,1.55,1.34,1.18,0
131.0,1.56,1.34,1.22,0
133.0,1.56,1.34,1.25,0
135.0,1.55,1.35,1.24,0
137.0,1.57,1.35,1.22,0
139.0,1.56,1.35,1.18,0
141.0,1.54,1.36,1.16,0
143.0,1.49,1.36,1.15,0
145.0,1.51,1.36,1.16,0
147.0,1.52,1.35,1.21,0
149.0,1.54,1.35,1.29,0
151.0,1.51,1.34,1.33,0
153.0,1.48,1.35,1.37,0
155.0,1.49,1.35,1.34,0
157.0,1.49,1.35,1.28,0
159.0,1.5,1.36,1.24,0
161.0,1.48,1.36,1.2,0
163.0,1.46,1.36,1.16,0
165.0,1.41,1.36,1.1,0
167.0,1.37,1.35,1.04,0
169.0,1.43,1.35,1.04,0
172.0,1.47,1.35,1.0,0
174.0,1.5,1.35,1.02,0
175.0,1.49,1.35,0.95,0
177.0,1.48,1.35,0.84,0
179.0,1.5,1.36,0.7,0
181.0,1.47,1.37,0.58,0
183.0,1.52,1.37,0.39,0
185.0,1.52,1.37,0.25,0
187.0,1.48,1.36,0.26,0
189.0,1.46,1.35,0.34,0
191.0,1.44,1.35,0.46,0
193.0,1.42,1.35,0.65,0
195.0,1.4,1.36,0.84,0
197.0,1.39,1.36,0.95,0
199.0,1.43,1.37,1.0,0
201.0,1.43,1.37,1.02,0
203.0,1.38,1.37,1.05,0
205.0,1.33,1.37,1.15,0
207.0,1.35,1.37,1.21,0
209.0,1.39,1.36,1.3,0
211.0,1.42,1.36,1.41,0
214.0,1.45,1.36,1.53,0
216.0,1.45,1.36,1.57,0
218.0,1.45,1.37,2.13,0
220.0,1.41,1.38,2.34,0
221.0,1.38,1.38,2.34,0
223.0,1.44,1.38,2.29,0
225.0,1.42,1.38,2.28,0
227.0,1.38,1.37,2.19,0
229.0,1.36,1.37,2.17,0
231.0,1.35,1.36,2.19,0
233.0,1.32,1.37,2.19,0
235.0,1.25,1.37,2.16,0
237.0,1.23,1.38,2.14,0
239.0,1.25,1.39,2.15,0
241.0,1.29,1.39,2.09,0
243.0,1.28,1.39,2.06,0
245.0,1.21,1.39,2.01,0
247.0,1.24,1.38,1.96,0
249.0,1.3,1.38,1.93,0
251.0,1.3,1.37,1.91,0
253.0,1.31,1.38,1.91,0
256.0,1.32,1.38,1.86,0
258.0,1.36,1.39,1.84,0
260.0,1.46,1.39,1.76,0
262.0,1.45,1.4,1.7,0
264.0,1.43,1.39,1.66,0
266.0,1.43,1.39,1.65,0
268.0,1.41,1.39,1.62,0
269.0,1.43,1.38,1.67,0
271.0,1.45,1.38,1.79,0
273.0,1.47,1.38,1.81,0
275.0,1.46,1.39,1.75,0
277.0,1.52,1.39,1.7,0
279.0,1.51,1.4,1.65,0
281.0,1.52,1.4,1.57,0
283.0,1.51,1.4,1.51,0
285.0,1.53,1.4,1.48,0
287.0,1.54,1.39,1.47,0
289.0,1.51,1.39,1.54,0
291.0,1.54,1.39,1.52,0
293.0,1.54,1.39,1.44,0
295.0,1.54,1.39,1.43,0
297.0,1.58,1.4,1.44,0
300.0,1.62,1.41,1.35,0
302.0,1.71,1.41,1.3,0
304.0,1.67,1.41,1.29,0
306.0,1.64,1.41,1.29,0
308.0,1.6,1.4,1.27,0
310.0,1.56,1.39,1.25,0
312.0,1.58,1.39,1.18,0
314.0,1.62,1.39,1.19,0
316.0,1.61,1.4,1.22,0
317.0,1.6,1.41,1.22,0
319.0,1.58,1.41,1.2,0
321.0,1.61,1.41,1.14,0
323.0,1.59,1.41,1.1,0
325.0,1.55,1.41,1.18,0
327.0,1.54,1.41,1.27,0
329.0,1.55,1.4,1.31,0
331.0,1.58,1.39,1.3,0
333.0,1.5,1.4,1.31,0
335.0,1.46,1.4,0.91,0
337.0,1.5,1.41,0.57,0
339.0,1.5,1.42,0.55,0
342.0,1.51,1.42,0.58,0
344.0,1.52,1.42,0.67,0
346.0,1.56,1.42,0.73,0
348.0,1.58,1.41,0.81,0
350.0,1.58,1.4,0.87,0
352.0,1.63,1.4,0.98,0
354.0,1.64,1.4,1.04,0
356.0,1.58,1.41,1.09,0
358.0,1.59,1.42,1.16,0
360.0,1.64,1.42,1.15,0
361.0,1.63,1.43,1.15,0
363.0,1.6,1.43,1.19,0
365.0,1.58,1.43,1.3,0
367.0,1.62,1.42,1.4,0
369.0,1.63,1.41,1.45,0
371.0,1.62,1.41,1.51,0
373.0,1.58,1.42,1.57,0
375.0,1.59,1.42,1.58,0
377.0,1.61,1.43,1.59,0
379.0,1.68,1.44,1.54,0
